data.average.firstView.Colordepth,data.average.firstView.FirstInteractive,data.average.firstView.FirstPaintedHero,data.average.firstView.LastInteractive,data.average.firstView.LastPaintedHero,data.average.firstView.PerformancePaintTiming.first-contentful-paint,data.average.firstView.PerformancePaintTiming.first-paint,data.average.firstView.SpeedIndex,data.average.firstView.TTFB,data.average.firstView.TTIMeasurementEnd,data.average.firstView.TimeToInteractive,data.average.firstView.aft,data.average.firstView.avgRun,data.average.firstView.basePageSSLTime,data.average.firstView.bigImageCount,data.average.firstView.bytesIn,data.average.firstView.bytesInDoc,data.average.firstView.bytesOut,data.average.firstView.bytesOutDoc,data.average.firstView.cached,data.average.firstView.chromeUserTiming.InteractiveTime,data.average.firstView.chromeUserTiming.domComplete,data.average.firstView.chromeUserTiming.domContentLoadedEventEnd,data.average.firstView.chromeUserTiming.domContentLoadedEventStart,data.average.firstView.chromeUserTiming.domInteractive,data.average.firstView.chromeUserTiming.domLoading,data.average.firstView.chromeUserTiming.fetchStart,data.average.firstView.chromeUserTiming.firstContentfulPaint,data.average.firstView.chromeUserTiming.firstImagePaint,data.average.firstView.chromeUserTiming.firstLayout,data.average.firstView.chromeUserTiming.firstMeaningfulPaint,data.average.firstView.chromeUserTiming.firstMeaningfulPaintCandidate,data.average.firstView.chromeUserTiming.firstPaint,data.average.firstView.chromeUserTiming.firstTextPaint,data.average.firstView.chromeUserTiming.loadEventEnd,data.average.firstView.chromeUserTiming.loadEventStart,data.average.firstView.chromeUserTiming.responseEnd,data.average.firstView.chromeUserTiming.unloadEventEnd,data.average.firstView.chromeUserTiming.unloadEventStart,data.average.firstView.connections,data.average.firstView.cpu.Idle,data.average.firstView.cpu.Paint,data.average.firstView.date,data.average.firstView.docTime,data.average.firstView.domComplete,data.average.firstView.domContentLoadedEventEnd,data.average.firstView.domContentLoadedEventStart,data.average.firstView.domElements,data.average.firstView.domInteractive,data.average.firstView.domLoading,data.average.firstView.domTime,data.average.firstView.effectiveBps,data.average.firstView.effectiveBpsDoc,data.average.firstView.final_base_page_request,data.average.firstView.firstContentfulPaint,data.average.firstView.firstImagePaint,data.average.firstView.firstLayout,data.average.firstView.firstMeaningfulPaint,data.average.firstView.firstPaint,data.average.firstView.firstTextPaint,data.average.firstView.fullyLoaded,data.average.firstView.fullyLoadedCPUms,data.average.firstView.fullyLoadedCPUpct,data.average.firstView.gzip_savings,data.average.firstView.gzip_total,data.average.firstView.heroElementTimes.FirstPaintedHero,data.average.firstView.heroElementTimes.Heading,data.average.firstView.heroElementTimes.Image,data.average.firstView.heroElementTimes.LastPaintedHero,data.average.firstView.image_savings,data.average.firstView.image_total,data.average.firstView.lastVisualChange,data.average.firstView.lighthouse.Accessibility,data.average.firstView.lighthouse.BestPractices,data.average.firstView.lighthouse.Performance,data.average.firstView.lighthouse.Performance.estimated-input-latency,data.average.firstView.lighthouse.Performance.first-contentful-paint,data.average.firstView.lighthouse.Performance.first-cpu-idle,data.average.firstView.lighthouse.Performance.first-meaningful-paint,data.average.firstView.lighthouse.Performance.interactive,data.average.firstView.lighthouse.Performance.max-potential-fid,data.average.firstView.lighthouse.Performance.speed-index,data.average.firstView.lighthouse.ProgressiveWebApp,data.average.firstView.lighthouse.SEO,data.average.firstView.loadEventEnd,data.average.firstView.loadEventStart,data.average.firstView.loadTime,data.average.firstView.maybeCaptcha,data.average.firstView.minify_savings,data.average.firstView.minify_total,data.average.firstView.optimization_checked,data.average.firstView.render,data.average.firstView.requests,data.average.firstView.requestsDoc,data.average.firstView.requestsFull,data.average.firstView.responses_200,data.average.firstView.responses_404,data.average.firstView.responses_other,data.average.firstView.result,data.average.firstView.run,data.average.firstView.score_cache,data.average.firstView.score_cdn,data.average.firstView.score_combine,data.average.firstView.score_compress,data.average.firstView.score_cookies,data.average.firstView.score_etags,data.average.firstView.score_gzip,data.average.firstView.score_keep-alive,data.average.firstView.score_minify,data.average.firstView.score_progressive_jpeg,data.average.firstView.server_rtt,data.average.firstView.smallImageCount,data.average.firstView.start_epoch,data.average.firstView.step,data.average.firstView.testStartOffset,data.average.firstView.test_run_time_ms,data.average.firstView.titleTime,data.average.firstView.userTime,data.average.firstView.userTime.core_execution_end,data.average.firstView.userTime.core_execution_start,data.average.firstView.userTime.with_airbnb_interactive_did_mount,data.average.firstView.userTimingMeasure.Google TTI Polyfill,data.average.firstView.userTimingMeasure.Time to AirbnbInteractive,data.average.firstView.visualComplete,data.average.firstView.visualComplete85,data.average.firstView.visualComplete90,data.average.firstView.visualComplete95,data.average.firstView.visualComplete99,data.bwDown,data.bwUp,data.completed,data.connectivity,data.from,data.fvonly,data.id,data.latency,data.location,data.mobile,data.plr,data.successfulFVRuns,data.summary,data.testRuns,data.testUrl,data.tester,data.url,speedtracker.day,speedtracker.month,speedtracker.slug,speedtracker.week,speedtracker.year,statusCode,statusText,webPagetestVersion
24,,,,,2489.9000000005,2489.9000000005,2727,1478,,,0,1,707.0,4,4747820,4616915,58022,46425,0,,9783,3934,3934,2277,1490,12.0,2489,2489,2462,6045,6045,2489,2489.0,9787,9784,2059,1489,1489,24,,,1546949392.168094,9784,9784,3934,3934,1500,2277,0,0,442976,555852,1,2490.0,2490.0,2463,6046.0,2489.9000000005,2490.0,12196,12219,33.5253772291,4194,1824293,,,,,5301,2831942,6100,0.91,1.0,0.41,24.504,2818.384,18350.202,18211.517,30452.914,,2937.0,0.38,1.0,9787,9784,9784,0,-1,-1,1,2500,192,146,192,152,0,40,0,1,76,99,-1,100,-1,-1,100,100,-1,0,0,5,0,1,0,22120,0,5251,3360,3201,5251,15929.0,6096,6100,2500,2500,5300,6100,9000,9000,1546949440,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190108_W2_2b18f9807ba9bcd06185c66ebf38c406,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190108_W2_2b18f9807ba9bcd06185c66ebf38c406,,https://www.airbnb.com/,VM04-05-192.168.10.93,https://www.airbnb.com/,8,1,airbnb-home,2,2019,200,Test Complete,18.1
24,3470.0,,2477.0,,2477.8000000006,2477.7000000031,2904,1363,10191.0,2477.0,0,1,786.0,1,3329865,3190462,67512,55913,0,,8953,3469,3469,2166,1379,5.0,2477,2477,2455,6372,6372,2477,2477.0,8957,8953,1944,1377,1377,24,11249.0,0.0,1546993364.962749,8953,8954,3470,3470,1451,2167,0,0,336826,420350,1,2478.0,2478.0,2456,6372.0,2477.7000000031,2478.0,11249,13409,38.4791965567,4192,1786189,,,,,2886,1455882,4800,0.94,1.0,0.41,20.7265,2847.91,18506.493,18035.257,30082.213,,3035.0,0.38,1.0,8958,8954,8953,0,-1,-1,1,2500,194,147,194,151,0,43,0,1,76,99,-1,100,-1,-1,100,100,-1,35,0,5,0,1,0,20375,0,5651,3254,3097,5651,15171.0,6376,4700,4300,4500,4600,4600,9000,9000,1546993416,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190109_S6_fc7145467a74f066c627bd89568d08bf,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190109_S6_fc7145467a74f066c627bd89568d08bf,,https://www.airbnb.com/,VM03-06-192.168.10.85,https://www.airbnb.com/,8,1,airbnb-home,2,2019,200,Test Complete,18.1
24,4012.0,,2321.0,,2321.7000000004,2321.7000000004,2654,1283,11320.0,2321.0,0,1,701.0,4,4707383,4578846,61190,49758,0,,9780,4011,4011,2075,1295,20.0,2321,2321,2281,6609,6609,2321,2321.0,9783,9780,1869,1294,1294,24,12166.0,0.0,1547036613.231741,9781,9781,4012,4012,1432,2076,0,0,432544,538814,1,2322.0,2322.0,2282,6609.0,2321.7000000004,2322.0,12166,12500,34.115720524000004,4187,1821024,,,,,5280,2793974,6800,0.94,1.0,0.41,18.1067076923,2809.5040000000013,18719.77,18546.963,30032.266000015297,,3013.0,0.38,1.0,9784,9781,9781,0,-1,-1,1,2400,192,146,192,150,0,42,0,1,78,99,-1,100,-1,-1,100,100,-1,5,0,5,0,1,0,21016,0,5846,3859,3699,5846,15903.0,6659,6800,2400,2400,4900,6800,9000,9000,1547036652,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190109_5X_3a0138faba618f536355586498a9b89a,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190109_5X_3a0138faba618f536355586498a9b89a,,https://www.airbnb.com/,VM04-04-192.168.10.92,https://www.airbnb.com/,9,1,airbnb-home,2,2019,200,Test Complete,18.1
24,3441.0,,2543.0,,2543.3000000048,2543.3000000048,3046,1382,15016.0,2543.0,0,1,707.0,1,3558860,3345487,72222,57742,0,10780.0,9581,3441,3441,2220,1395,25.0,2543,2543,2521,5979,5979,2543,2543.0,9584,9581,1962,1394,1394,24,15919.0,48.0,1547080707.357466,9582,9582,3441,3441,1508,2221,0,0,244008,407986,1,2543.0,2543.0,2522,5979.0,2543.3000000048,2543.0,15967,14309,40.4694570136,4166,1825408,,,,,2886,1643661,6000,0.94,1.0,0.34,20.637647058800002,3467.055,10723.681,10582.938999999997,30670.069,,4465.0,0.38,1.0,9585,9582,9582,0,-1,-1,1,2500,206,151,206,158,0,48,0,1,80,99,-1,100,-1,-1,100,100,-1,0,0,5,0,1,0,25907,0,5220,3212,3048,5220,15781.0,5975,6000,4400,4500,4600,6000,9000,9000,1547080765,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190110_JM_5618983d5ae932ee0af2ed30e2a8c284,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190110_JM_5618983d5ae932ee0af2ed30e2a8c284,,https://www.airbnb.com/,VM01-04-192.168.10.62,https://www.airbnb.com/,9,1,airbnb-home,2,2019,200,Test Complete,18.1
24,3220.0,,2377.0,,2377.4000000012,2377.4000000012,2596,1478,9380.0,2377.0,0,1,695.0,4,4865190,4594107,51314,39348,0,,8389,3219,3219,2179,1486,4.0,2377,2377,2355,5606,5606,2377,2377.0,8392,8390,2034,1485,1485,24,10969.0,0.0,1547124795.601477,8390,8390,3220,3220,1502,2180,0,0,512610,664656,1,2377.0,2377.0,2355,5607.0,2377.4000000012,2377.0,10969,10609,41.1240310078,2976,1809173,,,,,2359,2946837,5700,0.94,1.0,0.42,19.2057272727,2897.515,10952.735,10868.665,34973.702000000005,,3015.0,0.38,1.0,8393,8390,8390,0,-1,-1,1,2400,192,142,192,150,0,42,0,1,61,99,-1,100,-1,-1,100,100,-1,28,0,4,0,1,0,19461,0,4964,2912,2768,4964,14568.0,5631,5700,2400,2400,4200,5700,9000,9000,1547124845,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190110_AK_13285c81c3df64ed30e4573a9c4c1463,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190110_AK_13285c81c3df64ed30e4573a9c4c1463,,https://www.airbnb.com/,VM03-02-192.168.10.81,https://www.airbnb.com/,10,1,airbnb-home,2,2019,200,Test Complete,18.1
24,3235.0,,2394.0,,2394.2999999998997,2394.2999999998997,2625,1352,11307.0,2394.0,0,1,708.0,4,4866765,4652263,51375,39638,0,,9331,3234,3234,2165,1361,16.0,2394,2394,2358,6064,6064,2394,2394.0,9340,9331,1964,1360,1360,24,11714.0,0.0,1547168914.3022,9332,9332,3235,3235,1502,2166,0,0,469674,582990,1,2394.0,2394.0,2358,6065.0,2394.2999999998997,2394.0,11714,13950,51.4190932547,2976,1810741,,,,,2359,2946837,6300,0.85,1.0,0.27,24.7407777778,3566.077,13976.421,12288.971,13976.421,,6425.0,0.38,1.0,9341,9332,9332,0,-1,-1,1,2400,192,144,192,150,0,42,0,1,61,99,-1,100,-1,-1,100,100,-1,28,0,4,0,1,0,21745,0,5292,2940,2775,5292,15652.0,6066,6300,2400,2400,4900,6300,9000,9000,1547168947,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190111_BA_57ab1517437d416b130966137129791f,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190111_BA_57ab1517437d416b130966137129791f,,https://www.airbnb.com/,VM02-04-192.168.10.72,https://www.airbnb.com/,10,1,airbnb-home,2,2019,200,Test Complete,18.1
24,,,,,2367.9000000010997,2367.9000000010997,2804,1314,,,0,1,714.0,1,3370293,3233133,68059,55976,0,,9432,3403,3403,2094,1328,15.0,2367,2367,2339,6114,6114,2367,2367.0,9440,9432,1904,1327,1327,25,,,1547212757.213907,9432,9432,3403,3403,1513,2094,0,0,322979,398267,1,2368.0,2368.0,2340,6114.0,2367.9000000010997,2368.0,11749,13059,46.9615246314,4162,1788621,,,,,2887,1493806,6100,0.85,1.0,0.32,18.7235483871,2833.423,11211.156,10751.952,24470.665,,5494.0,0.38,1.0,9440,9432,9432,0,-1,-1,1,2300,197,149,197,152,0,45,0,1,76,99,-1,100,-1,-1,100,100,-1,0,0,5,0,1,0,21177,0,5214,3046,2877,5214,15655.0,6141,6100,4200,4300,4400,6100,9000,9000,1547212788,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190111_GW_e2064c66490e415f3402470be0dc139e,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190111_GW_e2064c66490e415f3402470be0dc139e,,https://www.airbnb.com/,VM04-08-192.168.10.96,https://www.airbnb.com/,11,1,airbnb-home,2,2019,200,Test Complete,18.1
24,4589.0,,2457.0,,2458.000000006,2458.000000006,3557,1402,24689.0,2457.0,0,1,713.0,4,4715906,4456353,62718,54010,0,,28138,4588,4588,2215,1411,20.0,2457,2457,2421,17840,17840,2457,2457.0,28149,28139,1997,1410,1410,26,31299.0,0.0,1547256859.187926,28139,28139,4589,4589,1449,2216,0,0,157738,166673,1,2458.0,2458.0,2422,17841.0,2458.000000006,2458.0,31299,19500,30.055487053,4206,1827290,,,,,5303,2793891,17900,0.94,1.0,0.4,16.0632763158,3037.634,23921.346,22905.915,34883.373,,3124.0,0.38,1.0,28149,28139,28139,0,-1,-1,1,2500,213,162,213,160,0,53,0,1,72,99,-1,100,-1,-1,100,100,-1,5,0,5,0,1,0,43060,0,17088,2926,2756,17088,,17868,17900,2500,2500,17900,17900,9000,9000,1547256916,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190112_G3_7c2bb4713ef52bc1552e01f2068cefea,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190112_G3_7c2bb4713ef52bc1552e01f2068cefea,,https://www.airbnb.com/,VM04-07-192.168.10.95,https://www.airbnb.com/,11,1,airbnb-home,2,2019,200,Test Complete,18.1
24,,,,,2327.9999999977,2327.9999999977,2782,1340,,,0,1,701.0,1,3448822,3176948,61266,49313,0,,7965,3285,3285,2067,1352,27.0,2328,2328,2301,6037,6037,2328,2328.0,7968,7965,1905,1350,1350,24,,,1547300420.1711464,7965,7965,3285,3285,1442,2068,0,0,394466,479539,1,2328.0,2328.0,2302,6038.0,2327.9999999977,2328.0,10083,11850,48.5854858549,2976,1773462,,,,,0,1566128,6100,0.85,1.0,0.3,20.1740816327,2907.7940000000012,11796.864,10988.003,21804.643,,6038.0,0.38,1.0,7968,7965,7965,0,-1,-1,1,2300,193,143,193,150,0,43,0,1,83,99,-1,100,-1,-1,100,100,-1,81,0,4,0,1,0,19037,0,5349,2922,2758,5349,14367.0,6035,6100,4100,4200,4300,6100,9000,9000,1547300445,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190112_P0_def4d6e56cf93f8a32f9946f94e4045b,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190112_P0_def4d6e56cf93f8a32f9946f94e4045b,,https://www.airbnb.com/,VM02-08-192.168.10.76,https://www.airbnb.com/,12,1,airbnb-home,2,2019,200,Test Complete,18.1
24,3457.0,,2273.0,,2273.8000000027,2273.8000000027,2454,1307,9781.0,2273.0,0,1,711.0,4,4780099,2796808,55696,25451,0,,4790,3456,3456,3456,1317,6.0,2273,2273,2248,5994,5994,2273,2273.0,4800,4790,1892,1317,1317,25,9917.0,46.0,1547344513.526145,4791,4791,3457,3456,1505,3456,0,0,552229,802757,1,2274.0,2274.0,2248,5994.0,2273.8000000027,2274.0,9963,10920,45.2548694571,4172,1855111,,,,,5250,2832117,6000,0.85,1.0,0.32,21.3688484848,2839.526,11282.917,10662.252,23060.877999996206,,5548.0,0.38,1.0,4801,4791,4791,0,-1,-1,1,2200,193,51,193,151,0,42,0,1,80,99,-1,100,-1,-1,100,100,-1,0,0,5,0,1,0,19608,0,5113,3079,2907,5113,13628.0,6056,6000,2200,2200,6000,6000,9000,9000,1547344553,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190113_6V_15e6edde6535c97cf103b7a778036fb2,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190113_6V_15e6edde6535c97cf103b7a778036fb2,,https://www.airbnb.com/,VM01-06-192.168.10.64,https://www.airbnb.com/,12,1,airbnb-home,2,2019,200,Test Complete,18.1
