data.average.firstView.Colordepth,data.average.firstView.FirstInteractive,data.average.firstView.FirstPaintedHero,data.average.firstView.LastInteractive,data.average.firstView.LastPaintedHero,data.average.firstView.PerformancePaintTiming.first-contentful-paint,data.average.firstView.PerformancePaintTiming.first-paint,data.average.firstView.SpeedIndex,data.average.firstView.TTFB,data.average.firstView.TTIMeasurementEnd,data.average.firstView.TimeToInteractive,data.average.firstView.aft,data.average.firstView.avgRun,data.average.firstView.basePageSSLTime,data.average.firstView.bigImageCount,data.average.firstView.bytesIn,data.average.firstView.bytesInDoc,data.average.firstView.bytesOut,data.average.firstView.bytesOutDoc,data.average.firstView.cached,data.average.firstView.chromeUserTiming.InteractiveTime,data.average.firstView.chromeUserTiming.domComplete,data.average.firstView.chromeUserTiming.domContentLoadedEventEnd,data.average.firstView.chromeUserTiming.domContentLoadedEventStart,data.average.firstView.chromeUserTiming.domInteractive,data.average.firstView.chromeUserTiming.domLoading,data.average.firstView.chromeUserTiming.fetchStart,data.average.firstView.chromeUserTiming.firstContentfulPaint,data.average.firstView.chromeUserTiming.firstImagePaint,data.average.firstView.chromeUserTiming.firstLayout,data.average.firstView.chromeUserTiming.firstMeaningfulPaint,data.average.firstView.chromeUserTiming.firstMeaningfulPaintCandidate,data.average.firstView.chromeUserTiming.firstPaint,data.average.firstView.chromeUserTiming.firstTextPaint,data.average.firstView.chromeUserTiming.loadEventEnd,data.average.firstView.chromeUserTiming.loadEventStart,data.average.firstView.chromeUserTiming.responseEnd,data.average.firstView.chromeUserTiming.unloadEventEnd,data.average.firstView.chromeUserTiming.unloadEventStart,data.average.firstView.connections,data.average.firstView.cpu.Idle,data.average.firstView.cpu.Paint,data.average.firstView.date,data.average.firstView.docTime,data.average.firstView.domComplete,data.average.firstView.domContentLoadedEventEnd,data.average.firstView.domContentLoadedEventStart,data.average.firstView.domElements,data.average.firstView.domInteractive,data.average.firstView.domLoading,data.average.firstView.domTime,data.average.firstView.effectiveBps,data.average.firstView.effectiveBpsDoc,data.average.firstView.final_base_page_request,data.average.firstView.firstContentfulPaint,data.average.firstView.firstImagePaint,data.average.firstView.firstLayout,data.average.firstView.firstMeaningfulPaint,data.average.firstView.firstPaint,data.average.firstView.firstTextPaint,data.average.firstView.fullyLoaded,data.average.firstView.fullyLoadedCPUms,data.average.firstView.fullyLoadedCPUpct,data.average.firstView.gzip_savings,data.average.firstView.gzip_total,data.average.firstView.heroElementTimes.BackgroundImage,data.average.firstView.heroElementTimes.FirstPaintedHero,data.average.firstView.heroElementTimes.LastPaintedHero,data.average.firstView.image_savings,data.average.firstView.image_total,data.average.firstView.lastVisualChange,data.average.firstView.lighthouse.Accessibility,data.average.firstView.lighthouse.BestPractices,data.average.firstView.lighthouse.Performance,data.average.firstView.lighthouse.Performance.estimated-input-latency,data.average.firstView.lighthouse.Performance.first-contentful-paint,data.average.firstView.lighthouse.Performance.first-cpu-idle,data.average.firstView.lighthouse.Performance.first-meaningful-paint,data.average.firstView.lighthouse.Performance.interactive,data.average.firstView.lighthouse.Performance.max-potential-fid,data.average.firstView.lighthouse.Performance.speed-index,data.average.firstView.lighthouse.ProgressiveWebApp,data.average.firstView.lighthouse.SEO,data.average.firstView.loadEventEnd,data.average.firstView.loadEventStart,data.average.firstView.loadTime,data.average.firstView.maybeCaptcha,data.average.firstView.minify_savings,data.average.firstView.minify_total,data.average.firstView.optimization_checked,data.average.firstView.render,data.average.firstView.requests,data.average.firstView.requestsDoc,data.average.firstView.requestsFull,data.average.firstView.responses_200,data.average.firstView.responses_404,data.average.firstView.responses_other,data.average.firstView.result,data.average.firstView.run,data.average.firstView.score_cache,data.average.firstView.score_cdn,data.average.firstView.score_combine,data.average.firstView.score_compress,data.average.firstView.score_cookies,data.average.firstView.score_etags,data.average.firstView.score_gzip,data.average.firstView.score_keep-alive,data.average.firstView.score_minify,data.average.firstView.score_progressive_jpeg,data.average.firstView.server_rtt,data.average.firstView.smallImageCount,data.average.firstView.start_epoch,data.average.firstView.step,data.average.firstView.testStartOffset,data.average.firstView.test_run_time_ms,data.average.firstView.titleTime,data.average.firstView.userTime,data.average.firstView.userTime.component_render_end,data.average.firstView.userTime.component_render_start,data.average.firstView.userTime.core_execution_end,data.average.firstView.userTime.core_execution_start,data.average.firstView.userTime.with_airbnb_interactive_did_mount,data.average.firstView.userTimingMeasure.Component execution,data.average.firstView.userTimingMeasure.Google TTI Polyfill,data.average.firstView.userTimingMeasure.Time to AirbnbInteractive,data.average.firstView.visualComplete,data.average.firstView.visualComplete85,data.average.firstView.visualComplete90,data.average.firstView.visualComplete95,data.average.firstView.visualComplete99,data.bwDown,data.bwUp,data.completed,data.connectivity,data.from,data.fvonly,data.id,data.latency,data.location,data.mobile,data.plr,data.successfulFVRuns,data.summary,data.testRuns,data.testUrl,data.tester,data.url,speedtracker.day,speedtracker.month,speedtracker.slug,speedtracker.week,speedtracker.year,statusCode,statusText,webPagetestVersion
24,3751.0,,2302.0,,2302.8000000013,2302.8000000013,5959,1402,11964.0,2302.0,0,1,702.0,6,4182705,4065199,81178,69306,0,,10286,3750,3750,2107,1415,15.0,2302,5633.0,2285,5633.0,5633,2302,2302.0,10298,10286,1972,1413,1413,36,15109.0,59.0,1546947458.719826,10287,10287,3751,3751,2195,2108,0,0,303843,457535,1,2303.0,5634.0,2286,5634.0,2302.8000000013,2303.0,15168,13120,32.03125,2976,1939565,,,,202464,2152828,6500,0.95,1.0,0.16,17.9187368421,3390.576,11232.338,10947.585,25965.465,,13800.0,0.38,1.0,10298,10287,10287,0,-1,-1,1,2300,266,227,266,195,0,71,0,1,73,99,-1,91,-1,-1,100,100,-1,21,0,3,0,1,0,24139,0,5191,,,2767,2622,5191.0,,18199.0,5618.0,6500,6400,6400,6500,6500,9000,9000,1546947511,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190108_28_c13109d6790dca5f244c81449198b2a4,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190108_28_c13109d6790dca5f244c81449198b2a4,,https://www.airbnb.com/s/homes,VM03-01-192.168.10.79,https://www.airbnb.com/s/homes,8,1,airbnb-homes,2,2019,200,Test Complete,18.1
24,3784.0,,2763.0,,2763.2999999987,2763.2999999987,6912,1868,11077.0,2763.0,0,1,707.0,6,4288201,3771093,82239,70474,0,,9237,3783,3783,2604,1922,18.0,2763,6703.0,2746,6703.0,6703,2763,2763.0,9266,9237,2452,1922,1922,32,11806.0,0.0,1546991559.848099,9238,9238,3784,3784,2197,2605,0,0,431495,511681,1,2763.0,6704.0,2746,6704.0,2763.2999999987,2763.0,11806,13440,37.6259798432,2976,1941862,,,,242728,2262621,7400,0.95,1.0,0.16,19.6612222222,3371.435,10877.928,10877.928,25871.076,,12952.0,0.38,1.0,9267,9238,9238,0,-1,-1,1,2700,261,221,261,192,0,69,0,1,73,99,-1,90,-1,-1,100,100,-1,19,0,3,0,1,0,21281,0,6164,,,3450,3298,6164.0,,,6731.0,7400,7400,7400,7400,7400,9000,9000,1546991608,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190108_VZ_03670dac3d52d9b19bf659422304c767,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190108_VZ_03670dac3d52d9b19bf659422304c767,,https://www.airbnb.com/s/homes,VM01-07-192.168.10.65,https://www.airbnb.com/s/homes,8,1,airbnb-homes,2,2019,200,Test Complete,18.1
24,3784.0,,2779.0,,2779.300000002,2779.300000002,6662,1761,12010.0,2779.0,0,1,707.0,6,4266012,3906367,83243,70159,0,,10172,3784,3784,2594,1772,14.0,2779,6441.0,2755,6441.0,6441,2779,2779.0,10206,10172,2352,1772,1772,32,15876.0,0.0,1547034805.747437,10173,10172,3784,3784,2197,2594,0,0,302232,464380,1,2779.0,6442.0,2756,6442.0,2779.300000002,2779.0,15876,16120,37.9651436646,2976,1898197,,,,246860,2283393,7300,0.95,1.0,0.17,22.178045454499998,2988.571,11386.122,11187.16,28677.063,,13310.0,0.38,1.0,10206,10173,10173,0,-1,-1,1,2700,267,222,267,196,0,71,0,1,72,99,-1,90,-1,-1,100,100,-1,18,0,3,0,1,0,25137,0,5800,,,3360,3185,5800.0,,17268.0,6446.0,7300,7300,7300,7300,7300,9000,9000,1547034849,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190109_2A_5fb6cd3ee7809ac038154a76a1218c66,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190109_2A_5fb6cd3ee7809ac038154a76a1218c66,,https://www.airbnb.com/s/homes,VM02-01-192.168.10.69,https://www.airbnb.com/s/homes,9,1,airbnb-homes,2,2019,200,Test Complete,18.1
24,,,,,2468.0000000008,2468.0000000008,7460,1401,,,0,1,713.0,6,3953753,3841969,80848,68451,0,,10924,3621,3621,2202,1418,13.0,2467,7378.0,2454,7378.0,7378,2467,2467.0,10955,10924,1983,1417,1417,32,,,1547079177.583279,10924,10925,3622,3622,2196,2202,0,0,269843,403441,1,2468.0,7378.0,2455,7378.0,2468.0000000008,2468.0,16053,16070,47.404129793500005,4260,1952282,,,,183596,1934511,8000,0.95,1.0,0.23,16.5200980392,3469.796,10611.363,10611.363,10541.087,,13668.0,0.38,1.0,10956,10925,10924,0,-1,-1,1,2600,267,227,267,196,0,71,0,1,75,99,-1,91,-1,-1,100,100,-1,0,0,3,0,1,0,26195,0,6742,,,3315,3106,6742.0,,17898.0,7345.0,8000,8000,8000,8000,8000,9000,9000,1547079271,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190110_EK_b520b49d6676bb63a994e99d2a5e55ef,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190110_EK_b520b49d6676bb63a994e99d2a5e55ef,,https://www.airbnb.com/s/homes,VM03-06-192.168.10.85,https://www.airbnb.com/s/homes,9,1,airbnb-homes,2,2019,200,Test Complete,18.1
24,3314.0,,2311.0,,2311.4999999998,2311.4999999998,5797,1384,12221.0,2311.0,0,1,706.0,6,4286654,4090679,81466,69084,0,,10561,3313,3313,2158,1394,6.0,2311,5606.0,2300,5606.0,5606,2311,2311.0,10573,10562,1967,1393,1393,34,15276.0,0.0,1547123001.9723198,10562,10562,3314,3314,2196,2158,0,0,308569,445704,1,2311.0,5607.0,2300,5607.0,2311.4999999998,2311.0,15276,12619,38.358662614,4203,1911520,,,,272266,2308078,6300,0.95,1.0,0.27,16.3520344828,2723.429,10539.328,10539.328,10478.953,,13031.0,0.38,1.0,10574,10562,10562,0,-1,-1,1,2300,267,224,267,195,0,72,0,1,72,99,-1,89,-1,-1,100,100,-1,0,0,3,0,1,0,23706,0,5184,,,3098,2954,5184.0,,17407.0,5671.0,6300,6300,6300,6300,6300,9000,9000,1547123057,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190110_1A_bb9fdd5c13f998fdaf99f8380edf0e77,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190110_1A_bb9fdd5c13f998fdaf99f8380edf0e77,,https://www.airbnb.com/s/homes,VM02-08-192.168.10.76,https://www.airbnb.com/s/homes,10,1,airbnb-homes,2,2019,200,Test Complete,18.1
24,3341.0,,2333.0,,2333.8999999978,2333.8999999978,5935,1405,10925.0,2333.0,0,1,713.0,6,3964738,3608407,78935,68405,0,,9192,3341,3341,2173,1417,10.0,2333,5778.0,2321,5778.0,5778,2333,2333.0,9198,9192,1980,1416,1416,31,11416.0,55.0,1547166212.856731,9192,9192,3341,3341,2194,2173,0,0,393874,463388,1,2334.0,5778.0,2321,5778.0,2333.8999999978,2334.0,11471,12220,45.8192725909,4187,1912105,,,,196751,1986847,6400,0.95,1.0,0.28,17.62934375,2730.592,10364.691,10086.74,10364.691,,12053.0,0.38,1.0,9198,9192,9192,0,-1,-1,1,2300,256,219,256,190,0,66,0,1,69,97,-1,91,-1,-1,100,100,-1,0,0,3,0,1,0,19856,0,5266,,,3133,2983,5266.0,,,5777.0,6400,6400,6400,6400,6400,9000,9000,1547166283,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190111_CB_11443fda536a35d2958eae7b770ac5ed,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190111_CB_11443fda536a35d2958eae7b770ac5ed,,https://www.airbnb.com/s/homes,VM04-03-192.168.10.91,https://www.airbnb.com/s/homes,10,1,airbnb-homes,2,2019,200,Test Complete,18.1
24,3384.0,,2331.0,,2331.3000000016,2331.3000000016,6003,1390,12358.0,2331.0,0,1,808.0,6,3847004,3651115,76417,64479,0,,10604,3383,3383,2163,1399,10.0,2331,5876.0,2318,5876.0,5876,2331,2331.0,10610,10604,1968,1398,1398,34,15548.0,0.0,1547210054.290385,10605,10604,3384,3384,2193,2163,0,0,271719,396214,1,2331.0,5876.0,2318,5876.0,2331.3000000016,2331.0,15548,13730,41.1570743405,4163,1955320,,,,162142,1822937,6500,0.95,1.0,0.16,18.9252857143,3384.786,11009.467,10874.87,27147.627999996206,,13398.0,0.38,1.0,10610,10604,10605,0,-1,-1,1,2400,262,220,262,194,0,68,0,1,75,99,-1,92,-1,-1,100,100,-1,0,0,3,0,1,0,24523,0,5327,,,3181,3035,5327.0,,17560.0,5948.0,6500,6500,6500,6500,6500,9000,9000,1547210097,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190111_48_e46ba1c2ff3d9a4538b5243fa5180414,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190111_48_e46ba1c2ff3d9a4538b5243fa5180414,,https://www.airbnb.com/s/homes,VM02-06-192.168.10.74,https://www.airbnb.com/s/homes,11,1,airbnb-homes,2,2019,200,Test Complete,18.1
24,3601.0,,2563.0,,2563.6999999988,2563.6999999988,6197,1576,15970.0,2563.0,0,1,810.0,6,4228700,4032821,81913,69511,0,,10693,3600,3600,2360,1587,18.0,2563,6091.0,2549,6091.0,6091,2563,2563.0,10703,10693,2156,1586,1586,36,15931.0,0.0,1547254151.510218,10693,10693,3601,3601,2194,2361,0,0,294580,442340,1,2564.0,6092.0,2550,6092.0,2563.6999999988,2564.0,15931,14319,42.2418879056,4189,1958618,,,,247524,2202479,6600,0.95,1.0,0.31,16.0526538462,2634.751,9642.501,9642.501,9556.676,,12194.0,0.38,1.0,10703,10693,10693,0,-1,-1,1,2500,267,224,267,195,0,72,0,1,76,99,-1,89,-1,-1,100,100,-1,0,0,3,0,1,0,23896,0,5654,,,3346,3196,5654.0,,17530.0,6142.0,6600,6600,6600,6600,6600,9000,9000,1547254218,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190112_2E_58a246f957d9cb25f011e9aa5632e77c,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190112_2E_58a246f957d9cb25f011e9aa5632e77c,,https://www.airbnb.com/s/homes,VM02-04-192.168.10.72,https://www.airbnb.com/s/homes,11,1,airbnb-homes,2,2019,200,Test Complete,18.1
24,3328.0,,2294.0,,2293.9999999981,2293.9999999981,5845,1334,11101.0,2294.0,0,1,709.0,6,3873208,3516920,76884,65856,0,,9286,3327,3327,2133,1344,18.0,2294,5591.0,2282,5591.0,5591,2294,2294.0,9301,9286,1943,1343,1343,33,11823.0,0.0,1547297712.511595,9287,9286,3328,3328,2194,2133,0,0,369263,442213,1,2294.0,5592.0,2282,5592.0,2293.9999999981,2294.0,11823,12000,43.668122270699996,4201,1917340,,,,169258,1890967,6500,0.95,1.0,0.19,22.2261304348,2773.644,10603.947,10603.947,27723.072,,12689.0,0.38,1.0,9301,9286,9287,0,-1,-1,1,2300,261,223,261,191,0,70,0,1,79,99,-1,92,-1,-1,100,100,-1,0,0,3,0,1,0,19956,0,5184,,,2940,2793,5184.0,,,5610.0,6500,6500,6500,6500,6500,9000,9000,1547297759,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190112_YX_99a4669a3f919d7b9233f71177e7207f,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190112_YX_99a4669a3f919d7b9233f71177e7207f,,https://www.airbnb.com/s/homes,VM01-05-192.168.10.63,https://www.airbnb.com/s/homes,12,1,airbnb-homes,2,2019,200,Test Complete,18.1
24,,,,,2319.1000000006,2319.1000000006,6166,1332,,,0,1,722.0,6,4136116,3940308,75771,64345,0,,10802,3346,3346,2118,1341,13.0,2319,5960.0,2303,5960.0,5960,2319,2319.0,10807,10802,1927,1340,1340,33,,,1547341831.12106,10803,10802,3346,3346,2192,2119,0,0,293029,416039,1,2319.0,5960.0,2304,5960.0,2319.1000000006,2319.0,15447,14079,42.7054898392,4171,1914302,,,,235238,2152242,6600,0.95,0.93,0.28,18.9827894737,2740.016,10232.262,10232.262,10133.06,,12875.0,0.38,1.0,10807,10803,10803,0,-1,-1,1,2300,261,220,261,192,0,69,0,1,77,99,-1,90,-1,-1,100,100,-1,0,0,3,0,1,0,24343,0,5347,,,3118,2969,5347.0,,17268.0,5963.0,6600,6600,6600,6600,6600,9000,9000,1547341918,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190113_WD_386dca714d3d1f0fc94942b9ac658549,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190113_WD_386dca714d3d1f0fc94942b9ac658549,,https://www.airbnb.com/s/homes,VM04-02-192.168.10.90,https://www.airbnb.com/s/homes,12,1,airbnb-homes,2,2019,200,Test Complete,18.1
