data.average.firstView.Colordepth,data.average.firstView.FirstInteractive,data.average.firstView.LastInteractive,data.average.firstView.PerformancePaintTiming.first-contentful-paint,data.average.firstView.PerformancePaintTiming.first-paint,data.average.firstView.SpeedIndex,data.average.firstView.TTFB,data.average.firstView.TTIMeasurementEnd,data.average.firstView.aft,data.average.firstView.avgRun,data.average.firstView.basePageSSLTime,data.average.firstView.bigImageCount,data.average.firstView.bytesIn,data.average.firstView.bytesInDoc,data.average.firstView.bytesOut,data.average.firstView.bytesOutDoc,data.average.firstView.cached,data.average.firstView.chromeUserTiming.domComplete,data.average.firstView.chromeUserTiming.domContentLoadedEventEnd,data.average.firstView.chromeUserTiming.domContentLoadedEventStart,data.average.firstView.chromeUserTiming.domInteractive,data.average.firstView.chromeUserTiming.domLoading,data.average.firstView.chromeUserTiming.fetchStart,data.average.firstView.chromeUserTiming.firstContentfulPaint,data.average.firstView.chromeUserTiming.firstImagePaint,data.average.firstView.chromeUserTiming.firstLayout,data.average.firstView.chromeUserTiming.firstMeaningfulPaint,data.average.firstView.chromeUserTiming.firstMeaningfulPaintCandidate,data.average.firstView.chromeUserTiming.firstPaint,data.average.firstView.chromeUserTiming.firstTextPaint,data.average.firstView.chromeUserTiming.loadEventEnd,data.average.firstView.chromeUserTiming.loadEventStart,data.average.firstView.chromeUserTiming.responseEnd,data.average.firstView.chromeUserTiming.unloadEventEnd,data.average.firstView.chromeUserTiming.unloadEventStart,data.average.firstView.connections,data.average.firstView.cpu.Idle,data.average.firstView.cpu.Paint,data.average.firstView.date,data.average.firstView.docTime,data.average.firstView.domComplete,data.average.firstView.domContentLoadedEventEnd,data.average.firstView.domContentLoadedEventStart,data.average.firstView.domElements,data.average.firstView.domInteractive,data.average.firstView.domLoading,data.average.firstView.domTime,data.average.firstView.effectiveBps,data.average.firstView.effectiveBpsDoc,data.average.firstView.final_base_page_request,data.average.firstView.firstContentfulPaint,data.average.firstView.firstImagePaint,data.average.firstView.firstLayout,data.average.firstView.firstMeaningfulPaint,data.average.firstView.firstPaint,data.average.firstView.firstTextPaint,data.average.firstView.fullyLoaded,data.average.firstView.fullyLoadedCPUms,data.average.firstView.fullyLoadedCPUpct,data.average.firstView.gzip_savings,data.average.firstView.gzip_total,data.average.firstView.image_savings,data.average.firstView.image_total,data.average.firstView.lastVisualChange,data.average.firstView.lighthouse.Accessibility,data.average.firstView.lighthouse.BestPractices,data.average.firstView.lighthouse.Performance,data.average.firstView.lighthouse.Performance.estimated-input-latency,data.average.firstView.lighthouse.Performance.first-contentful-paint,data.average.firstView.lighthouse.Performance.first-cpu-idle,data.average.firstView.lighthouse.Performance.first-meaningful-paint,data.average.firstView.lighthouse.Performance.interactive,data.average.firstView.lighthouse.Performance.speed-index,data.average.firstView.lighthouse.ProgressiveWebApp,data.average.firstView.lighthouse.SEO,data.average.firstView.loadEventEnd,data.average.firstView.loadEventStart,data.average.firstView.loadTime,data.average.firstView.maybeCaptcha,data.average.firstView.minify_savings,data.average.firstView.minify_total,data.average.firstView.optimization_checked,data.average.firstView.render,data.average.firstView.requests,data.average.firstView.requestsDoc,data.average.firstView.requestsFull,data.average.firstView.responses_200,data.average.firstView.responses_404,data.average.firstView.responses_other,data.average.firstView.result,data.average.firstView.run,data.average.firstView.score_cache,data.average.firstView.score_cdn,data.average.firstView.score_combine,data.average.firstView.score_compress,data.average.firstView.score_cookies,data.average.firstView.score_etags,data.average.firstView.score_gzip,data.average.firstView.score_keep-alive,data.average.firstView.score_minify,data.average.firstView.score_progressive_jpeg,data.average.firstView.server_rtt,data.average.firstView.smallImageCount,data.average.firstView.start_epoch,data.average.firstView.step,data.average.firstView.testStartOffset,data.average.firstView.test_run_time_ms,data.average.firstView.titleTime,data.average.firstView.visualComplete,data.average.firstView.visualComplete85,data.average.firstView.visualComplete90,data.average.firstView.visualComplete95,data.average.firstView.visualComplete99,data.bwDown,data.bwUp,data.completed,data.connectivity,data.from,data.fvonly,data.id,data.latency,data.location,data.mobile,data.plr,data.successfulFVRuns,data.summary,data.testUrl,data.tester,data.url,speedtracker.day,speedtracker.month,speedtracker.slug,speedtracker.week,speedtracker.year,statusCode,statusText,webPagetestVersion
24,,2571,2571.9000000026,2395.0000000041,2948,1365,3898,0,1,697,0,1212190,1189808,25117,24539,0,4655,3430,3413,3412,1373,5,2571,2571,2385,3400,3400,2394,2916,4660,4660,1370,1372,1372,7,4838,26,1547503039.7206712,4660,4655,3431,3413,589,3413,0,0,346438,361094,1,2572,2572,2385,3401,2395.0000000041,2917,4864,4889,33.608247422699996,20833,417162,69761,256763,3900,0.93,0.87,0.62,16.0,3309.768,6735.071999999999,6180.0030000000015,6735.0719999923995,3841,0.31,0.82,4661,4660,4660,0,-1,-1,1,2400,50,49,50,49,0,1,0,1,15,100,-1,73,-1,-1,96,100,-1,100,0,16,0,1,0,10477,0,3900,2900,3300,3800,3800,9000,9000,1547503035,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190114_2A_1da563a74863bf45c6ee40cee1929f1f,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190114_2A_1da563a74863bf45c6ee40cee1929f1f,https://www.apple.com/,VM01-04-192.168.10.62,https://www.apple.com/,14,1,apple-home,3,2019,200,Test Complete,18.1
24,,2758,2758.0999999990995,2714.5999999993,3344,1524,4482,0,1,700,0,1146088,1123706,24151,23573,0,5186,3453,3442,3442,1534,24,2758,2758,2642,3879,3879,2714,3289,5206,5205,1531,1532,1532,7,5406,27,1547504708.550848,5205,5186,3453,3442,589,3442,0,0,293192,305271,1,2758,2758,2642,3879,2714.5999999993,3289,5433,5929,37.915601023,20833,417168,51232,190652,4300,0.93,0.87,0.57,16.0,3515.116,6843.561,6843.561,6835.7490000038,4452,0.58,0.82,5206,5205,5205,0,-1,-1,1,2700,49,48,49,48,0,1,0,1,17,100,-1,74,-1,-1,96,100,-1,100,0,16,0,1,0,11684,0,4300,3300,3600,4200,4200,9000,9000,1547504705,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190114_X8_e1740798b5e5ae57f8898f9a08f7ef8d,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190114_X8_e1740798b5e5ae57f8898f9a08f7ef8d,https://www.apple.com/,VM01-06-192.168.10.64,https://www.apple.com/,14,1,apple-home,3,2019,200,Test Complete,18.1
24,,2412,2412.8000000001,2353.0999999994,2847,1293,3819,0,1,710,0,1146088,1123706,24265,23687,0,4712,3005,2993,2993,1303,20,2412,2412,2290,3459,3459,2353,2848,4721,4720,1298,1302,1302,7,4923,29,1547572553.531748,4721,4712,3005,2994,589,2994,0,0,313224,327802,1,2413,2413,2290,3460,2353.0999999994,2848,4952,4339,28.7227001985,20833,417173,51232,190652,3800,0.93,0.87,0.62,16.0,2920.148,6632.315,6632.315,6540.069,4226,0.31,0.82,4721,4721,4721,0,-1,-1,1,2300,49,48,49,48,0,1,0,1,15,100,-1,74,-1,-1,96,100,-1,100,0,16,0,1,0,10412,0,3800,2800,2800,3700,3700,9000,9000,1547572547,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190115_99_746467f896b50e1fda51662d8385995d,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190115_99_746467f896b50e1fda51662d8385995d,https://www.apple.com/,VM03-02-192.168.10.81,https://www.apple.com/,15,1,apple-home,3,2019,200,Test Complete,18.1
24,,2428,2428.5000000018,2149.4000000021,2930,1283,3881,0,1,699,0,1146088,1123706,24059,23481,0,4895,3136,3125,3124,1292,14,2428,2428,2139,3453,3453,2149,2939,4900,4899,1287,1290,1290,7,5104,24,1547650045.6618268,4900,4895,3136,3125,589,3125,0,0,298072,310673,1,2428,2428,2139,3453,2149.4000000021,2940,5128,4780,31.3237221494,20833,417146,51232,190652,3800,0.93,0.86,0.51,16.0,4183.378,7271.338000000002,7027.924,7271.338000000002,4665,0.31,0.82,4900,4900,4900,0,-1,-1,1,2100,49,48,49,48,0,1,0,1,17,100,-1,74,-1,-1,96,100,-1,100,0,16,0,1,0,10545,0,3800,2900,3500,3700,3700,9000,9000,1547650030,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190116_29_1083d8c9abd74baa6cf9d3b9fb6843da,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190116_29_1083d8c9abd74baa6cf9d3b9fb6843da,https://www.apple.com/,VM02-05-192.168.10.73,https://www.apple.com/,16,1,apple-home,3,2019,200,Test Complete,18.1
24,,2438,2438.5000000002,2294.2000000003,3120,1311,4115,0,1,710,0,1146087,1123705,24471,23893,0,4872,3245,3234,3234,1318,13,2438,2438,2286,3609,3609,2294,3085,4878,4877,1314,1317,1317,7,5081,20,1547731994.820871,4878,4873,3245,3235,589,3234,0,0,302397,315028,1,2438,2438,2286,3610,2294.2000000003,3085,5101,4449,29.142108709899997,20833,417187,51232,190652,4000,0.93,0.86,0.58,16.0,3712.46,6754.116999999998,6578.278,6754.116999999998,4209,0.31,0.82,4878,4878,4878,0,-1,-1,1,2300,49,48,49,48,0,1,0,1,18,100,-1,74,-1,-1,96,100,-1,100,0,16,0,1,0,10583,0,4000,3100,3100,3900,3900,9000,9000,1547731985,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190117_HH_fe094ecd0c1efff1f6369ddeef9e83f1,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190117_HH_fe094ecd0c1efff1f6369ddeef9e83f1,https://www.apple.com/,VM01-01-192.168.10.43,https://www.apple.com/,17,1,apple-home,3,2019,200,Test Complete,18.1
24,,3008,3008.0999999990995,3008.0999999990995,3094,1390,4101,0,1,703,0,1146087,1123705,24162,23584,0,5099,3728,3699,3699,1398,8,3008,3110,2598,3677,3677,3008,3008,5106,5106,1397,1397,1397,7,5297,29,1547745219.98933,5106,5099,3728,3700,589,3699,0,0,291180,302396,1,3008,3110,2599,3677,3008.0999999990995,3008,5326,5099,32.9244673983,20833,417169,51232,190652,4100,0.93,0.86,0.63,16.0,2924.441,6652.72,6652.72,6486.0059999999985,4247,0.31,0.82,5107,5106,5106,0,-1,-1,1,3000,49,48,49,48,0,1,0,1,17,100,-1,74,-1,-1,96,100,-1,100,0,16,0,1,0,10797,0,4100,3000,3600,4000,4000,9000,9000,1547745209,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190117_VZ_ff00c2a8b5ff1cfabebf8bdea80b5253,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190117_VZ_ff00c2a8b5ff1cfabebf8bdea80b5253,https://www.apple.com/,VM03-03-192.168.10.82,https://www.apple.com/,17,1,apple-home,3,2019,200,Test Complete,18.1
24,,2342,2341.9999999969,2226.0999999999,3019,1302,3831,0,1,733,0,1146087,1123705,24160,23582,0,4851,3128,3118,3118,1312,13,2342,2342,2218,3425,3425,2226,2958,4858,4858,1309,1309,1309,7,5057,21,1547775411.541681,4858,4852,3129,3118,589,3118,0,0,303518,316002,1,2342,2342,2218,3425,2226.0999999999,2958,5078,4519,29.9337748344,20833,417171,51232,190652,3800,0.93,0.86,0.57,16.0,3648.94,7032.395,6493.149,7032.395,4192,0.58,0.82,4859,4858,4858,0,-1,-1,1,2200,49,48,49,48,0,1,0,1,16,100,-1,74,-1,-1,96,100,-1,100,0,16,0,1,0,10556,0,3800,3000,3400,3800,3800,9000,9000,1547775400,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190118_DD_f621d24ec299a7552d9c44d3f5e58eb8,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190118_DD_f621d24ec299a7552d9c44d3f5e58eb8,https://www.apple.com/,VM03-04-192.168.10.83,https://www.apple.com/,17,1,apple-home,3,2019,200,Test Complete,18.1
24,,2426,2426.2999999992003,2295.8999999992,3132,1304,3922,0,1,699,0,1146087,1123705,24119,23541,0,4974,3159,3145,3145,1313,7,2426,2426,2289,3465,3465,2295,2981,4982,4981,1312,1311,1311,7,5211,22,1547819521.76337,4982,4974,3160,3146,589,3145,0,0,291699,305520,1,2426,2426,2290,3465,2295.8999999992,2981,5233,4340,28.347485303699997,20833,417167,51232,190652,4000,0.83,0.86,0.56,16.0,3285.877,6932.056,6932.056,6928.808000000001,4855,0.31,0.82,4982,4982,4982,0,-1,-1,1,2400,49,48,49,48,0,1,0,1,18,100,-1,74,-1,-1,96,100,-1,100,0,16,0,1,0,11304,0,4000,3100,3600,3900,3900,9000,9000,1547819501,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190118_84_f4694c19962190f5b743b4d3866a8c4b,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190118_84_f4694c19962190f5b743b4d3866a8c4b,https://www.apple.com/,VM02-06-192.168.10.74,https://www.apple.com/,18,1,apple-home,3,2019,200,Test Complete,18.1
24,,2478,2478.4,2421.5000000004,2949,1295,3852,0,1,704,0,1147023,1124641,24463,23885,0,4816,3103,3087,3087,1305,26,2478,2478,2339,3455,3455,2421,2910,4825,4824,1305,1303,1303,7,5028,20,1547863622.306858,4825,4816,3104,3088,588,3087,0,0,305628,318595,1,2478,2479,2340,3456,2421.5000000004,2910,5048,4430,29.9526707235,20833,418371,51232,190361,3800,0.93,0.86,0.61,16.0,2822.308,6718.221,6710.552,6718.221,4410,0.31,0.82,4826,4825,4825,0,-1,-1,1,2400,49,48,49,48,0,1,0,1,16,100,-1,74,-1,-1,96,100,-1,100,0,16,0,1,0,11348,0,3800,2900,3500,3800,3800,9000,9000,1547863602,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190119_33_9f3c0bbd45ec40ca31082d376016e52d,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190119_33_9f3c0bbd45ec40ca31082d376016e52d,https://www.apple.com/,VM02-04-192.168.10.72,https://www.apple.com/,18,1,apple-home,3,2019,200,Test Complete,18.1
24,,2461,2461.6999999998,2395.199999999,2951,1291,3968,0,1,702,0,1147023,1124641,24572,23994,0,4840,3492,3424,3424,1307,18,2461,2461,2366,3510,3510,2395,2915,4849,4849,1307,1303,1303,7,5075,23,1547907730.9323714,4849,4840,3492,3424,588,3424,0,0,301293,316087,1,2462,2462,2367,3511,2395.199999999,2916,5098,4990,33.3110814419,20833,418396,51232,190361,3900,0.93,0.86,0.61,16.0,3010.457000000001,6774.916,6696.476,6774.916,4255,0.31,0.82,4850,4849,4849,0,-1,-1,1,2400,49,48,49,48,0,1,0,1,15,100,-1,74,-1,-1,96,100,-1,100,0,16,0,1,0,10617,0,3900,2900,3400,3800,3800,9000,9000,1547907700,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190119_AR_8901c007130a7dee7b5a5d985ee49e98,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190119_AR_8901c007130a7dee7b5a5d985ee49e98,https://www.apple.com/,VM04-01-192.168.10.80,https://www.apple.com/,19,1,apple-home,3,2019,200,Test Complete,18.1
