data.average.firstView.Colordepth,data.average.firstView.FirstInteractive,data.average.firstView.FirstPaintedHero,data.average.firstView.LastInteractive,data.average.firstView.LastPaintedHero,data.average.firstView.PerformancePaintTiming.first-contentful-paint,data.average.firstView.PerformancePaintTiming.first-paint,data.average.firstView.SpeedIndex,data.average.firstView.TTFB,data.average.firstView.TTIMeasurementEnd,data.average.firstView.TimeToInteractive,data.average.firstView.aft,data.average.firstView.avgRun,data.average.firstView.basePageSSLTime,data.average.firstView.bigImageCount,data.average.firstView.bytesIn,data.average.firstView.bytesInDoc,data.average.firstView.bytesOut,data.average.firstView.bytesOutDoc,data.average.firstView.cached,data.average.firstView.chromeUserTiming.InteractiveTime,data.average.firstView.chromeUserTiming.domComplete,data.average.firstView.chromeUserTiming.domContentLoadedEventEnd,data.average.firstView.chromeUserTiming.domContentLoadedEventStart,data.average.firstView.chromeUserTiming.domInteractive,data.average.firstView.chromeUserTiming.domLoading,data.average.firstView.chromeUserTiming.fetchStart,data.average.firstView.chromeUserTiming.firstContentfulPaint,data.average.firstView.chromeUserTiming.firstImagePaint,data.average.firstView.chromeUserTiming.firstLayout,data.average.firstView.chromeUserTiming.firstMeaningfulPaint,data.average.firstView.chromeUserTiming.firstMeaningfulPaintCandidate,data.average.firstView.chromeUserTiming.firstPaint,data.average.firstView.chromeUserTiming.firstTextPaint,data.average.firstView.chromeUserTiming.loadEventEnd,data.average.firstView.chromeUserTiming.loadEventStart,data.average.firstView.chromeUserTiming.responseEnd,data.average.firstView.chromeUserTiming.unloadEventEnd,data.average.firstView.chromeUserTiming.unloadEventStart,data.average.firstView.connections,data.average.firstView.cpu.Idle,data.average.firstView.cpu.Paint,data.average.firstView.date,data.average.firstView.docTime,data.average.firstView.domComplete,data.average.firstView.domContentLoadedEventEnd,data.average.firstView.domContentLoadedEventStart,data.average.firstView.domElements,data.average.firstView.domInteractive,data.average.firstView.domLoading,data.average.firstView.domTime,data.average.firstView.effectiveBps,data.average.firstView.effectiveBpsDoc,data.average.firstView.final_base_page_request,data.average.firstView.firstContentfulPaint,data.average.firstView.firstImagePaint,data.average.firstView.firstLayout,data.average.firstView.firstMeaningfulPaint,data.average.firstView.firstPaint,data.average.firstView.firstTextPaint,data.average.firstView.fullyLoaded,data.average.firstView.fullyLoadedCPUms,data.average.firstView.fullyLoadedCPUpct,data.average.firstView.gzip_savings,data.average.firstView.gzip_total,data.average.firstView.heroElementTimes.BackgroundImage,data.average.firstView.heroElementTimes.FirstPaintedHero,data.average.firstView.heroElementTimes.Heading,data.average.firstView.heroElementTimes.Image,data.average.firstView.heroElementTimes.LastPaintedHero,data.average.firstView.image_savings,data.average.firstView.image_total,data.average.firstView.lastVisualChange,data.average.firstView.lighthouse.Accessibility,data.average.firstView.lighthouse.BestPractices,data.average.firstView.lighthouse.Performance,data.average.firstView.lighthouse.Performance.estimated-input-latency,data.average.firstView.lighthouse.Performance.first-contentful-paint,data.average.firstView.lighthouse.Performance.first-cpu-idle,data.average.firstView.lighthouse.Performance.first-meaningful-paint,data.average.firstView.lighthouse.Performance.interactive,data.average.firstView.lighthouse.Performance.max-potential-fid,data.average.firstView.lighthouse.Performance.speed-index,data.average.firstView.lighthouse.ProgressiveWebApp,data.average.firstView.lighthouse.SEO,data.average.firstView.loadEventEnd,data.average.firstView.loadEventStart,data.average.firstView.loadTime,data.average.firstView.maybeCaptcha,data.average.firstView.minify_savings,data.average.firstView.minify_total,data.average.firstView.optimization_checked,data.average.firstView.render,data.average.firstView.requests,data.average.firstView.requestsDoc,data.average.firstView.requestsFull,data.average.firstView.responses_200,data.average.firstView.responses_404,data.average.firstView.responses_other,data.average.firstView.result,data.average.firstView.run,data.average.firstView.score_cache,data.average.firstView.score_cdn,data.average.firstView.score_combine,data.average.firstView.score_compress,data.average.firstView.score_cookies,data.average.firstView.score_etags,data.average.firstView.score_gzip,data.average.firstView.score_keep-alive,data.average.firstView.score_minify,data.average.firstView.score_progressive_jpeg,data.average.firstView.server_rtt,data.average.firstView.smallImageCount,data.average.firstView.start_epoch,data.average.firstView.step,data.average.firstView.testStartOffset,data.average.firstView.test_run_time_ms,data.average.firstView.titleTime,data.average.firstView.visualComplete,data.average.firstView.visualComplete85,data.average.firstView.visualComplete90,data.average.firstView.visualComplete95,data.average.firstView.visualComplete99,data.bwDown,data.bwUp,data.completed,data.connectivity,data.from,data.fvonly,data.id,data.latency,data.location,data.mobile,data.plr,data.successfulFVRuns,data.summary,data.testRuns,data.testUrl,data.tester,data.url,speedtracker.day,speedtracker.month,speedtracker.slug,speedtracker.week,speedtracker.year,statusCode,statusText,webPagetestVersion
24,2472.0,,1904.0,,1904.9899999991,1904.9849999992002,2922,1154,9290.0,1904.0,0,1,350.0,2,1753556,604908,112248,24310,0,,3239,2471,2471,2457,1182,22,1904,2041,1894,2472,2472,1904,1904.0,3242,3239,1419,1180,1180,39,12570.0,0.0,1550764176.77038,3239,3239,2472,2472,1380,2458,0,0,153605,290123.0,0,1905,2041,1894,2472,1904.9849999992002,1905.0,12570,10740,37.0728339662,0,738051,,,,,,384792,1017398,13900,0.47,0.64,0.57,154.3696666667,2121.631,6329.168000000002,2530.598,12743.667,,4135.0,0.23,0.73,3242,3239,3239,0,-1,-1,1,1900,127,20,127,110,1,16,99999,1,62,91,-1,63,-1,-1,100,100,-1,0,0,11,0,1,0,21062,0,5900,3300,5100,5500,5700,9000,9000,1550764128,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190221_ZP_4d7554dc35f623fe7ad0f309b10f72e9,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190221_ZP_4d7554dc35f623fe7ad0f309b10f72e9,,https://www.bhphotovideo.com/c/browse/Photography/ci/989/N/4294538916,VM02-08-192.168.10.76,https://www.bhphotovideo.com/c/browse/Photography/ci/989/N/4294538916,21,2,bhphoto-browse,8,2019,200,Test Complete,18.1
24,2250.0,,1731.0,,1731.5999999992002,1731.5949999975,2782,1059,11613.0,1731.0,0,1,349.0,2,1780095,610324,113054,24529,0,,3059,2250,2250,2241,1075,13,1731,1854,1719,2266,2266,1731,1731.0,3062,3059,1337,1074,1074,40,12300.0,0.0,1550806586.85313,3060,3059,2250,2250,1390,2241,0,0,158357,305009.0,0,1732,1855,1719,2266,1731.5949999975,1732.0,12300,10910,37.842525147399996,0,742843,,,,,,384792,1037194,13600,0.47,0.64,0.59,141.338,1975.381,6320.729,2423.016,12443.546999999999,,3970.0,0.23,0.73,3062,3059,3060,0,-1,-1,1,1700,129,21,129,111,1,17,99999,1,62,91,-1,63,-1,-1,100,100,-1,0,0,11,0,1,0,20663,0,5500,3200,4900,5300,5500,9000,9000,1550806555,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190222_KH_e6298e714f4e506828376589094a4bdc,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190222_KH_e6298e714f4e506828376589094a4bdc,,https://www.bhphotovideo.com/c/browse/Photography/ci/989/N/4294538916,VM01-04-192.168.10.62,https://www.bhphotovideo.com/c/browse/Photography/ci/989/N/4294538916,21,2,bhphoto-browse,8,2019,200,Test Complete,18.1
24,2484.0,,1965.0,,1965.3900000003,1965.3900000003,2954,1157,13775.0,1965.0,0,1,350.0,2,1779767,612805,113995,26746,0,,3142,2484,2484,2440,1170,15,1965,2474,1942,2474,2474,1965,1965.0,3146,3142,1445,1169,1169,36,12258.0,66.0,1550851910.193928,3143,3142,2484,2484,1376,2440,0,0,159377,308562.0,0,1965,2474,1943,2474,1965.3900000003,1965.0,12324,10250,36.116983791399996,0,745452,,,,,,384792,1033905,13800,0.47,0.64,0.58,165.60925,2001.58,6352.7119999999995,2442.47,12467.556,,3997.0,0.23,0.73,3146,3142,3143,0,-1,-1,1,2000,133,21,133,110,1,22,99999,1,61,91,-1,63,-1,-1,100,100,-1,0,0,12,0,1,0,21086,0,5600,3200,5100,5400,5600,9000,9000,1550851860,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190222_B5_f21e95663c9e8761c60b29b46b0c69d1,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190222_B5_f21e95663c9e8761c60b29b46b0c69d1,,https://www.bhphotovideo.com/c/browse/Photography/ci/989/N/4294538916,VM02-02-192.168.10.70,https://www.bhphotovideo.com/c/browse/Photography/ci/989/N/4294538916,22,2,bhphoto-browse,8,2019,200,Test Complete,18.1
24,2175.0,,1785.0,,1785.1200000004999,1785.1150000060004,2954,1095,7722.0,1785.0,0,1,354.0,2,2664542,604957,108589,24307,0,,3030,2174,2174,2168,1105,12,1785,1873,1773,2186,2186,1785,1785.0,3032,3030,1382,1104,1104,38,12151.0,0.0,1550894871.429341,3031,3031,2175,2174,1414,2169,0,0,241004,312477.0,0,1785,1873,1773,2187,1785.1150000060004,1785.0,12151,9800,34.9500713267,0,737444,,,,,,282472,1927249,13400,0.47,0.64,0.54,163.41475,2002.724,6382.01,2408.591,14752.8989999924,,4522.0,0.23,0.73,3033,3031,3031,0,-1,-1,1,1800,118,20,118,104,1,13,99999,1,62,91,-1,86,-1,-1,100,100,-1,0,0,11,0,1,0,19967,0,5800,4900,4900,4900,5100,9000,9000,1550894839,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190223_WA_3bcac8a0ccda6326795d629abd7bd5c2,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190223_WA_3bcac8a0ccda6326795d629abd7bd5c2,,https://www.bhphotovideo.com/c/browse/Photography/ci/989/N/4294538916,VM03-05-192.168.10.84,https://www.bhphotovideo.com/c/browse/Photography/ci/989/N/4294538916,22,2,bhphoto-browse,8,2019,200,Test Complete,18.1
24,2236.0,,1811.0,,1811.8899999972,1811.8850000028,2698,1097,12849.0,1811.0,0,1,351.0,3,2511719,450445,108136,23825,0,,2358,2236,2236,1932,1108,11,1811,1927,1799,2255,2255,1811,1811.0,2373,2358,1388,1108,1108,35,11476.0,63.0,1550938876.466173,2358,2358,2236,2236,1404,1932,0,0,240540,357212.0,0,1812,1927,1799,2256,1811.8850000028,1812.0,11539,9079,33.6795252225,0,742991,,,,,,279326,1770513,13000,0.47,0.64,0.58,180.77,1908.326,5437.11,2381.1420000000007,12884.005,,4323.0,0.23,0.73,2374,2358,2358,0,-1,-1,1,1800,131,18,131,110,1,20,99999,1,66,90,-1,85,-1,-1,100,100,-1,22,0,12,0,1,0,19639,0,5500,4400,4400,4500,4700,9000,9000,1550938839,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190223_JX_116fa7580049e61c84e28e9ce87d9ca8,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190223_JX_116fa7580049e61c84e28e9ce87d9ca8,,https://www.bhphotovideo.com/c/browse/Photography/ci/989/N/4294538916,VM03-05-192.168.10.84,https://www.bhphotovideo.com/c/browse/Photography/ci/989/N/4294538916,23,2,bhphoto-browse,8,2019,200,Test Complete,18.1
24,2377.0,,1868.0,,1868.7149999969001,1868.7149999969001,2596,1098,8957.0,1868.0,0,1,347.0,3,2509817,448110,108185,23851,0,,2428,2377,2377,2369,1109,12,1868,2035,1844,2397,2397,1868,1868.0,2431,2428,1382,1108,1108,40,11380.0,0.0,1550983007.890856,2428,2428,2377,2377,1380,2369,0,0,244098,336924.0,0,1869,2035,1844,2398,1868.7149999969001,1869.0,11380,8540,31.8656716418,0,740101,,,,,,279326,1771838,12900,0.47,0.64,0.59,94.5748333333,1923.8339999999998,5393.496,2285.514,13174.5979999924,,4140.0,0.23,0.73,2431,2428,2428,0,-1,-1,1,1800,123,18,123,105,1,17,99999,1,64,90,-1,85,-1,-1,100,100,-1,22,0,11,0,1,0,19030,0,5300,2600,4300,4700,4700,9000,9000,1550982938,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190224_WY_23eb590f45bee40ff69d92099349a76b,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190224_WY_23eb590f45bee40ff69d92099349a76b,,https://www.bhphotovideo.com/c/browse/Photography/ci/989/N/4294538916,VM04-01-192.168.10.80,https://www.bhphotovideo.com/c/browse/Photography/ci/989/N/4294538916,23,2,bhphoto-browse,8,2019,200,Test Complete,18.1
24,2413.0,,1872.0,,1872.4849999998999,1872.4849999998999,2612,1127,9022.0,1872.0,0,1,351.0,3,2527887,450503,110615,23865,0,,2494,2413,2413,2377,1140,11,1872,2009,1859,2398,2398,1872,1872.0,2507,2494,1411,1139,1139,35,11747.0,0.0,1551027093.161543,2494,2494,2413,2413,1379,2377,0,0,238030,329555.0,0,1872,2010,1859,2398,1872.4849999998999,1872.0,11747,10680,38.9923329682,0,739452,,,,,,279326,1789867,13200,0.47,0.64,0.59,124.5768,2010.832,5589.0080000000025,2498.9139999999998,13480.3550000153,,4047.0,0.23,0.73,2507,2494,2494,0,-1,-1,1,1900,133,18,133,109,1,23,99999,1,64,90,-1,85,-1,-1,100,100,-1,22,0,11,0,1,0,19745,0,5700,2600,4500,4800,5400,9000,9000,1551027041,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190224_2W_0f5892fe3dc2aace6414b505b389a7f5,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190224_2W_0f5892fe3dc2aace6414b505b389a7f5,,https://www.bhphotovideo.com/c/browse/Photography/ci/989/N/4294538916,VM02-06-192.168.10.74,https://www.bhphotovideo.com/c/browse/Photography/ci/989/N/4294538916,24,2,bhphoto-browse,8,2019,200,Test Complete,18.1
24,2471.0,,1913.0,,1913.4149999954002,1913.3799999981,2689,1161,9314.0,1913.0,0,1,354.0,3,2519123,455682,111413,24084,0,,2587,2470,2470,2440,1175,21,1913,2062,1899,2468,2468,1913,1913.0,2602,2587,1457,1174,1174,38,11856.0,0.0,1551071230.516736,2588,2588,2471,2471,1376,2441,0,0,235542,319328.0,0,1913,2062,1900,2469,1913.3799999981,1913.0,11856,10189,36.8535262206,0,745180,,,,,,279326,1775706,13100,0.47,0.64,0.57,131.985,1884.908,5396.029,2298.165,12343.5759999924,,4685.0,0.23,0.73,2603,2588,2588,0,-1,-1,1,1900,136,19,136,111,1,24,99999,1,65,90,-1,85,-1,-1,100,100,-1,22,0,11,0,1,0,20407,0,5800,2700,4400,4900,4900,9000,9000,1551071166,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190225_3W_9b97b82357fea05c9c6f20bac9aea1e0,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190225_3W_9b97b82357fea05c9c6f20bac9aea1e0,,https://www.bhphotovideo.com/c/browse/Photography/ci/989/N/4294538916,VM04-05-192.168.10.93,https://www.bhphotovideo.com/c/browse/Photography/ci/989/N/4294538916,25,2,bhphoto-browse,9,2019,200,Test Complete,18.1
24,2445.0,,1998.0,,1998.7000000001,1998.7000000001,2825,1221,8679.0,1998.0,0,1,348.0,3,2524494,453406,110958,24080,0,8627.0,2612,2445,2445,2435,1237,12,1998,2097,1989,2464,2464,1998,1998.0,2614,2612,1498,1236,1236,36,12703.0,0.0,1551115275.161106,2612,2612,2445,2445,1379,2436,0,0,219865,325956.0,0,1999,2098,1989,2465,1998.7000000001,1999.0,12703,9939,34.0410958904,0,742367,,,,,,279326,1783894,14400,0.47,0.64,0.6,248.429,1978.731,5600.989000000001,2473.72,12216.989,,4164.0,0.23,0.73,2614,2612,2612,0,-1,-1,1,2000,127,19,127,107,1,19,99999,1,65,90,-1,85,-1,-1,100,100,-1,22,0,11,0,1,0,21294,0,6000,3100,4600,5800,6000,9000,9000,1551115244,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190225_VG_46de2f722e9740b95193a2e12827661c,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190225_VG_46de2f722e9740b95193a2e12827661c,,https://www.bhphotovideo.com/c/browse/Photography/ci/989/N/4294538916,VM01-02-192.168.10.60,https://www.bhphotovideo.com/c/browse/Photography/ci/989/N/4294538916,25,2,bhphoto-browse,9,2019,200,Test Complete,18.1
24,2379.0,,1867.0,,1867.0200000015,1867.0150000016001,2617,1052,7091.0,1867.0,0,1,350.0,3,2528000,459040,117776,26508,0,,2471,2378,2378,2358,1062,14,1867,2000,1854,2361,2361,1867,1867.0,2485,2471,1329,1061,1061,36,11636.0,0.0,1551159527.007408,2472,2472,2379,2379,1376,2359,0,0,238851,323267.0,0,1867,2000,1854,2362,1867.0150000016001,1867.0,11636,10500,38.8170055453,0,759025,,,,,,279326,1771357,13100,0.47,0.64,0.61,158.95175,1902.1570000000002,5353.36,2355.79,12585.726999999999,,3928.0,0.23,0.73,2485,2472,2472,0,-1,-1,1,1900,120,20,120,104,1,15,99999,1,69,90,-1,85,-1,-1,100,100,-1,22,0,11,0,1,0,20136,0,5900,2500,4600,5400,5400,9000,9000,1551159457,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190226_3Z_2d5beb81418e50d5a4a1822380acbed8,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190226_3Z_2d5beb81418e50d5a4a1822380acbed8,,https://www.bhphotovideo.com/c/browse/Photography/ci/989/N/4294538916,VM04-02-192.168.10.90,https://www.bhphotovideo.com/c/browse/Photography/ci/989/N/4294538916,26,2,bhphoto-browse,9,2019,200,Test Complete,18.1
