data.average.firstView.Colordepth,data.average.firstView.FirstInteractive,data.average.firstView.LastInteractive,data.average.firstView.PerformancePaintTiming.first-contentful-paint,data.average.firstView.PerformancePaintTiming.first-paint,data.average.firstView.SpeedIndex,data.average.firstView.TTFB,data.average.firstView.TTIMeasurementEnd,data.average.firstView.TimeToInteractive,data.average.firstView.aft,data.average.firstView.avgRun,data.average.firstView.basePageSSLTime,data.average.firstView.bigImageCount,data.average.firstView.bytesIn,data.average.firstView.bytesInDoc,data.average.firstView.bytesOut,data.average.firstView.bytesOutDoc,data.average.firstView.cached,data.average.firstView.chromeUserTiming.InteractiveTime,data.average.firstView.chromeUserTiming.domComplete,data.average.firstView.chromeUserTiming.domContentLoadedEventEnd,data.average.firstView.chromeUserTiming.domContentLoadedEventStart,data.average.firstView.chromeUserTiming.domInteractive,data.average.firstView.chromeUserTiming.domLoading,data.average.firstView.chromeUserTiming.fetchStart,data.average.firstView.chromeUserTiming.firstContentfulPaint,data.average.firstView.chromeUserTiming.firstImagePaint,data.average.firstView.chromeUserTiming.firstLayout,data.average.firstView.chromeUserTiming.firstMeaningfulPaint,data.average.firstView.chromeUserTiming.firstMeaningfulPaintCandidate,data.average.firstView.chromeUserTiming.firstPaint,data.average.firstView.chromeUserTiming.firstTextPaint,data.average.firstView.chromeUserTiming.loadEventEnd,data.average.firstView.chromeUserTiming.loadEventStart,data.average.firstView.chromeUserTiming.responseEnd,data.average.firstView.chromeUserTiming.unloadEventEnd,data.average.firstView.chromeUserTiming.unloadEventStart,data.average.firstView.connections,data.average.firstView.cpu.Idle,data.average.firstView.cpu.Paint,data.average.firstView.date,data.average.firstView.docTime,data.average.firstView.domComplete,data.average.firstView.domContentLoadedEventEnd,data.average.firstView.domContentLoadedEventStart,data.average.firstView.domElements,data.average.firstView.domInteractive,data.average.firstView.domLoading,data.average.firstView.domTime,data.average.firstView.effectiveBps,data.average.firstView.effectiveBpsDoc,data.average.firstView.final_base_page_request,data.average.firstView.firstContentfulPaint,data.average.firstView.firstImagePaint,data.average.firstView.firstLayout,data.average.firstView.firstMeaningfulPaint,data.average.firstView.firstPaint,data.average.firstView.firstTextPaint,data.average.firstView.fullyLoaded,data.average.firstView.fullyLoadedCPUms,data.average.firstView.fullyLoadedCPUpct,data.average.firstView.gzip_savings,data.average.firstView.gzip_total,data.average.firstView.image_savings,data.average.firstView.image_total,data.average.firstView.lastVisualChange,data.average.firstView.lighthouse.Accessibility,data.average.firstView.lighthouse.BestPractices,data.average.firstView.lighthouse.Performance,data.average.firstView.lighthouse.Performance.estimated-input-latency,data.average.firstView.lighthouse.Performance.first-contentful-paint,data.average.firstView.lighthouse.Performance.first-cpu-idle,data.average.firstView.lighthouse.Performance.first-meaningful-paint,data.average.firstView.lighthouse.Performance.interactive,data.average.firstView.lighthouse.Performance.speed-index,data.average.firstView.lighthouse.ProgressiveWebApp,data.average.firstView.lighthouse.SEO,data.average.firstView.loadEventEnd,data.average.firstView.loadEventStart,data.average.firstView.loadTime,data.average.firstView.maybeCaptcha,data.average.firstView.minify_savings,data.average.firstView.minify_total,data.average.firstView.optimization_checked,data.average.firstView.render,data.average.firstView.requests,data.average.firstView.requestsDoc,data.average.firstView.requestsFull,data.average.firstView.responses_200,data.average.firstView.responses_404,data.average.firstView.responses_other,data.average.firstView.result,data.average.firstView.run,data.average.firstView.score_cache,data.average.firstView.score_cdn,data.average.firstView.score_combine,data.average.firstView.score_compress,data.average.firstView.score_cookies,data.average.firstView.score_etags,data.average.firstView.score_gzip,data.average.firstView.score_keep-alive,data.average.firstView.score_minify,data.average.firstView.score_progressive_jpeg,data.average.firstView.server_rtt,data.average.firstView.smallImageCount,data.average.firstView.start_epoch,data.average.firstView.step,data.average.firstView.testStartOffset,data.average.firstView.test_run_time_ms,data.average.firstView.titleTime,data.average.firstView.visualComplete,data.average.firstView.visualComplete85,data.average.firstView.visualComplete90,data.average.firstView.visualComplete95,data.average.firstView.visualComplete99,data.bwDown,data.bwUp,data.completed,data.connectivity,data.from,data.fvonly,data.id,data.latency,data.location,data.mobile,data.plr,data.successfulFVRuns,data.summary,data.testUrl,data.tester,data.url,speedtracker.day,speedtracker.month,speedtracker.slug,speedtracker.week,speedtracker.year,statusCode,statusText,webPagetestVersion
24,3544.0,3544.0,3544.4999999963,3544.4999999963,3733.0,1831.0,12926.0,3544.0,0,1,700.0,8,5579040.0,5563640.0,42246.0,40203.0,0,,12904.0,3273.0,3273.0,3272.0,1845.0,19.0,3544.0,3544.0,3493.0,3544.0,3544.0,3544.0,3544.0,12921.0,12904.0,2291.0,1843.0,1843.0,13.0,13536.0,77.0,1546928087.448997,12904.0,12904.0,3273.0,3273.0,1849.0,3273.0,0,0,473522.0,502451.0,1,3544.0,3544.0,3494.0,3544.0,3544.4999999963,3544.0,13613.0,14439.0,36.8085648738,13915,1195304.0,941180,4310939.0,9100,0.74,0.87,0.26,1431.46,4866.01,5788.2130000000025,4866.0340000000015,25679.658,6937,0.31,1.0,12921.0,12904.0,12904.0,0,-1,-1,1,3600,97.0,94.0,97.0,95.0,1,1.0,99999,1.0,61.0,100.0,-1,79,-1,-1,99,100,-1,15,0,4.0,0,1,0,23104.0,0,5400,3800,3800,3800,3800,9000,9000,1546928135,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190108_6K_a8bbbe1720ff4c181e2c517a4be5c46d,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190108_6K_a8bbbe1720ff4c181e2c517a4be5c46d,https://jet.com/?disable_analytics=true,VM04-02-192.168.10.90,https://jet.com/?disable_analytics=true,8,1,home-noanalytics,2,2019,200,Test Complete,18.1
24,4091.0,4091.0,4091.5999999997,4091.5999999997,4174.0,1830.0,13405.0,4091.0,0,1,700.0,7,5515653.0,5500253.0,42246.0,40203.0,0,,13389.0,3714.0,3714.0,3714.0,1843.0,25.0,4091.0,4091.0,3977.0,11399.0,11399.0,4091.0,4091.0,13401.0,13389.0,2291.0,1841.0,1841.0,13.0,13990.0,67.0,1546971767.305775,13389.0,13389.0,3715.0,3715.0,1822.0,3714.0,0,0,451104.0,475841.0,1,4092.0,4092.0,3978.0,11400.0,4091.5999999997,4092.0,14057.0,14590.0,35.9359605911,13915,1198774.0,953619,4244104.0,9400,0.74,0.87,0.29,1576.8,4779.611,5497.776999999999,4779.623,24853.193,6433,0.31,1.0,13402.0,13389.0,13389.0,0,-1,-1,1,4100,97.0,94.0,97.0,95.0,1,1.0,99999,1.0,72.0,97.0,-1,78,-1,-1,99,100,-1,15,0,4.0,0,1,0,23487.0,0,5800,4200,4200,4200,4200,9000,9000,1546971825,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190108_5V_1e9612cafe2acae62a7f9ab803405a43,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190108_5V_1e9612cafe2acae62a7f9ab803405a43,https://jet.com/?disable_analytics=true,VM02-06-192.168.10.74,https://jet.com/?disable_analytics=true,8,1,home-noanalytics,2,2019,200,Test Complete,18.1
24,4182.0,4182.0,4182.6000000001,4182.6000000001,4272.0,2080.0,14033.0,4182.0,0,1,825.0,7,5447242.0,5431842.0,40958.0,38915.0,0,,14015.0,3836.0,3836.0,3836.0,2090.0,5.0,4182.0,4182.0,4078.0,12207.0,12207.0,4182.0,4182.0,14028.0,14015.0,2532.0,2090.0,2090.0,13.0,14599.0,103.0,1547015865.29494,14016.0,14016.0,3837.0,3837.0,1853.0,3836.0,0,0,431567.0,455080.0,1,4183.0,4183.0,4079.0,12208.0,4182.6000000001,4183.0,14702.0,13880.0,33.8454035601,13915,1199050.0,928117,4175372.0,9300,0.74,0.87,0.21,16.0,4663.253,22846.496,22846.496,22817.779,5876,0.31,1.0,14028.0,14016.0,14016.0,0,-1,-1,1,4200,96.0,93.0,96.0,94.0,1,1.0,99999,1.0,72.0,97.0,-1,78,-1,-1,99,100,-1,15,0,4.0,0,1,0,23642.0,0,5800,4300,4300,4300,4300,9000,9000,1547015920,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190109_F7_b9f416412f1658eff91aedaf5ba31950,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190109_F7_b9f416412f1658eff91aedaf5ba31950,https://jet.com/?disable_analytics=true,VM01-01-192.168.10.43,https://jet.com/?disable_analytics=true,9,1,home-noanalytics,2,2019,200,Test Complete,18.1
24,3520.0,3520.0,3520.4999999987,3520.4999999987,3649.0,1792.0,12326.0,3520.0,0,1,703.0,8,5445307.0,5429907.0,40958.0,38915.0,0,,12304.0,3159.0,3159.0,3159.0,1800.0,11.0,3520.0,3520.0,3395.0,10392.0,10392.0,3520.0,3520.0,12322.0,12304.0,2216.0,1799.0,1799.0,13.0,12946.0,77.0,1547059101.131263,12305.0,12305.0,3160.0,3160.0,1831.0,3160.0,0,0,484846.0,516494.0,1,3520.0,3521.0,3395.0,10393.0,3520.4999999987,3520.0,13023.0,12919.0,42.9093324477,13915,1198670.0,913843,4173832.0,8300,0.74,0.87,0.24,1214.866,4872.792,5763.073,4872.803,24595.19200000001,7538,0.31,1.0,12323.0,12305.0,12305.0,0,-1,-1,1,3500,96.0,93.0,96.0,94.0,1,1.0,99999,1.0,72.0,100.0,-1,79,-1,-1,99,100,-1,13,0,4.0,0,1,0,21405.0,0,5200,3700,3700,3700,3700,9000,9000,1547059145,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190109_4J_c6c95f49ca6f3fa324738a64052e3a34,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190109_4J_c6c95f49ca6f3fa324738a64052e3a34,https://jet.com/?disable_analytics=true,VM02-06-192.168.10.74,https://jet.com/?disable_analytics=true,9,1,home-noanalytics,2,2019,200,Test Complete,18.1
24,3444.0,3444.0,3444.7000000073,3444.7000000073,3479.0,1679.0,11947.0,3444.0,0,1,701.0,8,5489163.0,5473763.0,40958.0,38915.0,0,,11932.0,3163.0,3163.0,3162.0,1688.0,20.0,3444.0,3444.0,3375.0,11045.0,11045.0,3444.0,3444.0,11944.0,11932.0,2137.0,1687.0,1687.0,13.0,12515.0,67.0,1547103197.052771,11933.0,11933.0,3164.0,3164.0,1836.0,3163.0,0,0,503454.0,533817.0,1,3445.0,3445.0,3375.0,11046.0,3444.7000000073,3445.0,12582.0,11469.0,39.2942788626,13915,1198892.0,928365,4217474.0,8400,0.74,0.87,0.28,1328.601,4637.332,5501.855,4637.3420000000015,25057.045,6657,0.31,1.0,11944.0,11933.0,11933.0,0,-1,-1,1,3400,96.0,93.0,96.0,94.0,1,1.0,99999,1.0,72.0,97.0,-1,78,-1,-1,99,100,-1,13,0,4.0,0,1,0,20651.0,0,5100,3500,3500,3500,3500,9000,9000,1547103248,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190110_X0_f9ce27b21486edb469f7dbd2a068ab97,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190110_X0_f9ce27b21486edb469f7dbd2a068ab97,https://jet.com/?disable_analytics=true,VM03-03-192.168.10.82,https://jet.com/?disable_analytics=true,10,1,home-noanalytics,2,2019,200,Test Complete,18.1
24,3980.0,3980.0,3980.4999999999,3980.4999999999,4076.0,1755.0,12949.0,3980.0,0,1,699.0,8,5421523.0,5406123.0,40952.0,38909.0,0,,12919.0,3458.0,3458.0,3458.0,1771.0,4.0,3980.0,3980.0,3805.0,10992.0,10992.0,3980.0,3980.0,12942.0,12919.0,2205.0,1770.0,1770.0,13.0,13660.0,83.0,1547191397.370176,12920.0,12920.0,3459.0,3459.0,1827.0,3458.0,0,0,452245.0,484202.0,1,3980.0,3980.0,3805.0,10993.0,3980.4999999999,3980.0,13743.0,13299.0,43.083900226800004,13915,1196715.0,912830,4151992.0,8900,0.74,0.87,0.17,98.499,4653.23,24591.425,23906.36,24591.425,6671,0.31,1.0,12943.0,12920.0,12920.0,0,-1,-1,1,4000,96.0,93.0,96.0,94.0,1,1.0,99999,1.0,72.0,97.0,-1,79,-1,-1,99,100,-1,13,0,4.0,0,1,0,22846.0,0,5500,4100,4100,4100,4100,9000,9000,1547191451,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190111_6B_7d7156734295ab9d88274b998804e3e6,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190111_6B_7d7156734295ab9d88274b998804e3e6,https://jet.com/?disable_analytics=true,VM01-05-192.168.10.63,https://jet.com/?disable_analytics=true,11,1,home-noanalytics,2,2019,200,Test Complete,18.1
24,4109.0,4109.0,4109.099999999699,4109.099999999699,4138.0,2019.0,12288.0,4109.0,0,1,720.0,8,5506008.0,5490608.0,40940.0,38898.0,0,,12268.0,3796.0,3796.0,3795.0,2028.0,14.0,4109.0,4109.0,4022.0,10474.0,10474.0,4109.0,4109.0,12284.0,12268.0,2576.0,2027.0,2027.0,13.0,12857.0,89.0,1547235334.746851,12268.0,12268.0,3796.0,3796.0,1825.0,3795.0,0,0,503890.0,535721.0,1,4109.0,4109.0,4022.0,10474.0,4109.099999999699,4109.0,12946.0,12759.0,42.462562395999996,13915,1196115.0,930303,4237096.0,8500,0.74,0.87,0.17,16.0,4703.259,24907.365,24907.365,24887.682,6635,0.31,1.0,12284.0,12268.0,12268.0,0,-1,-1,1,4100,96.0,93.0,96.0,94.0,1,1.0,99999,1.0,72.0,100.0,-1,79,-1,-1,99,100,-1,13,0,4.0,0,1,0,21721.0,0,6000,4100,4100,4100,4100,9000,9000,1547235372,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190111_60_22ccd39fb8379f3708ad549d178fb06f,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190111_60_22ccd39fb8379f3708ad549d178fb06f,https://jet.com/?disable_analytics=true,VM04-02-192.168.10.90,https://jet.com/?disable_analytics=true,11,1,home-noanalytics,2,2019,200,Test Complete,18.1
24,3774.0,3774.0,3774.9000000003,3774.9000000003,3817.0,1737.0,13253.0,3774.0,0,1,705.0,8,5438136.0,5422736.0,42240.0,40197.0,0,,13237.0,3441.0,3441.0,3440.0,1748.0,11.0,3774.0,3774.0,3648.0,11430.0,11430.0,3774.0,3774.0,13249.0,13237.0,2188.0,1746.0,1746.0,13.0,13787.0,90.0,1547279353.420882,13237.0,13237.0,3442.0,3442.0,1856.0,3441.0,0,0,447951.0,471542.0,1,3775.0,3775.0,3649.0,11431.0,3774.9000000003,3775.0,13877.0,12540.0,39.3844221106,13915,1196551.0,929040,4168771.0,8600,0.74,0.87,0.21,16.0,4047.852,26452.845,26452.845,26439.245,6396,0.31,1.0,13250.0,13238.0,13237.0,0,-1,-1,1,3800,97.0,94.0,97.0,95.0,1,1.0,99999,1.0,72.0,97.0,-1,78,-1,-1,99,100,-1,13,0,4.0,0,1,0,22092.0,0,5500,3800,3800,3800,3800,9000,9000,1547279396,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190112_3M_ba0355fc34f6e110f2a4b23131cf70ba,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190112_3M_ba0355fc34f6e110f2a4b23131cf70ba,https://jet.com/?disable_analytics=true,VM02-08-192.168.10.76,https://jet.com/?disable_analytics=true,12,1,home-noanalytics,2,2019,200,Test Complete,18.1
24,3771.0,3771.0,3771.900000007,3771.900000007,3820.0,1796.0,12722.0,3771.0,0,1,733.0,9,5566140.0,5550740.0,40952.0,38909.0,0,,12704.0,3447.0,3447.0,3447.0,1805.0,13.0,3771.0,3771.0,3675.0,3771.0,3771.0,3771.0,3771.0,12718.0,12704.0,2210.0,1804.0,1804.0,13.0,13325.0,63.0,1547322915.279907,12704.0,12704.0,3447.0,3447.0,1839.0,3447.0,0,0,480170.0,508868.0,1,3772.0,3772.0,3675.0,3772.0,3771.900000007,3772.0,13388.0,12060.0,39.502129053400004,13915,1196231.0,914751,4297128.0,9100,0.74,0.87,0.2,16.0,4299.806,24733.794,24733.794,24714.988999984704,6453,0.31,1.0,12718.0,12704.0,12704.0,0,-1,-1,1,3800,96.0,93.0,96.0,94.0,1,1.0,99999,1.0,72.0,100.0,-1,79,-1,-1,99,100,-1,13,0,4.0,0,1,0,21537.0,0,5600,3800,3800,3800,3800,9000,9000,1547322967,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190112_DH_2d2f52ede55e2ffc9a056242fd146b27,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190112_DH_2d2f52ede55e2ffc9a056242fd146b27,https://jet.com/?disable_analytics=true,VM01-03-192.168.10.61,https://jet.com/?disable_analytics=true,12,1,home-noanalytics,2,2019,200,Test Complete,18.1
24,3267.0,3267.0,3267.8999999998,3267.8000000005,3936.0,1609.0,12045.0,3267.0,0,1,702.0,8,5432598.0,5417198.0,40952.0,38909.0,0,,12022.0,2982.0,2982.0,2982.0,1616.0,4.0,3267.0,3267.0,3188.0,10935.0,10935.0,3267.0,3267.0,12039.0,12022.0,2053.0,1615.0,1615.0,13.0,12599.0,73.0,1547367017.397199,12023.0,12022.0,2982.0,2982.0,1861.0,2982.0,0,0,491060.0,520184.0,1,3268.0,3268.0,3188.0,10935.0,3267.8000000005,3268.0,12672.0,12210.0,41.829393628000005,13915,1196835.0,914646,4162960.0,8900,0.74,0.87,0.21,1345.506,4734.818,5549.223000000001,4734.834,25495.648,9724,0.31,1.0,12039.0,12022.0,12023.0,0,-1,-1,1,3300,96.0,93.0,96.0,94.0,1,1.0,99999,1.0,72.0,100.0,-1,79,-1,-1,99,100,-1,13,0,4.0,0,1,0,21375.0,0,8900,3400,5100,8900,8900,9000,9000,1547367068,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190113_NA_50687cc7190eb67edd7acea86a7b7835,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190113_NA_50687cc7190eb67edd7acea86a7b7835,https://jet.com/?disable_analytics=true,VM03-02-192.168.10.81,https://jet.com/?disable_analytics=true,13,1,home-noanalytics,2,2019,200,Test Complete,18.1
