data.average.firstView.Colordepth,data.average.firstView.FirstInteractive,data.average.firstView.LastInteractive,data.average.firstView.PerformancePaintTiming.first-contentful-paint,data.average.firstView.PerformancePaintTiming.first-paint,data.average.firstView.SpeedIndex,data.average.firstView.TTFB,data.average.firstView.TTIMeasurementEnd,data.average.firstView.TimeToInteractive,data.average.firstView.aft,data.average.firstView.avgRun,data.average.firstView.basePageSSLTime,data.average.firstView.bigImageCount,data.average.firstView.bytesIn,data.average.firstView.bytesInDoc,data.average.firstView.bytesOut,data.average.firstView.bytesOutDoc,data.average.firstView.cached,data.average.firstView.chromeUserTiming.InteractiveTime,data.average.firstView.chromeUserTiming.domComplete,data.average.firstView.chromeUserTiming.domContentLoadedEventEnd,data.average.firstView.chromeUserTiming.domContentLoadedEventStart,data.average.firstView.chromeUserTiming.domInteractive,data.average.firstView.chromeUserTiming.domLoading,data.average.firstView.chromeUserTiming.fetchStart,data.average.firstView.chromeUserTiming.firstContentfulPaint,data.average.firstView.chromeUserTiming.firstImagePaint,data.average.firstView.chromeUserTiming.firstLayout,data.average.firstView.chromeUserTiming.firstMeaningfulPaint,data.average.firstView.chromeUserTiming.firstMeaningfulPaintCandidate,data.average.firstView.chromeUserTiming.firstPaint,data.average.firstView.chromeUserTiming.firstTextPaint,data.average.firstView.chromeUserTiming.loadEventEnd,data.average.firstView.chromeUserTiming.loadEventStart,data.average.firstView.chromeUserTiming.responseEnd,data.average.firstView.chromeUserTiming.unloadEventEnd,data.average.firstView.chromeUserTiming.unloadEventStart,data.average.firstView.connections,data.average.firstView.cpu.Idle,data.average.firstView.cpu.Paint,data.average.firstView.date,data.average.firstView.docTime,data.average.firstView.domComplete,data.average.firstView.domContentLoadedEventEnd,data.average.firstView.domContentLoadedEventStart,data.average.firstView.domElements,data.average.firstView.domInteractive,data.average.firstView.domLoading,data.average.firstView.domTime,data.average.firstView.effectiveBps,data.average.firstView.effectiveBpsDoc,data.average.firstView.final_base_page_request,data.average.firstView.firstContentfulPaint,data.average.firstView.firstImagePaint,data.average.firstView.firstLayout,data.average.firstView.firstMeaningfulPaint,data.average.firstView.firstPaint,data.average.firstView.firstTextPaint,data.average.firstView.fullyLoaded,data.average.firstView.fullyLoadedCPUms,data.average.firstView.fullyLoadedCPUpct,data.average.firstView.gzip_savings,data.average.firstView.gzip_total,data.average.firstView.image_savings,data.average.firstView.image_total,data.average.firstView.lastVisualChange,data.average.firstView.lighthouse.Accessibility,data.average.firstView.lighthouse.BestPractices,data.average.firstView.lighthouse.Performance,data.average.firstView.lighthouse.Performance.estimated-input-latency,data.average.firstView.lighthouse.Performance.first-contentful-paint,data.average.firstView.lighthouse.Performance.first-cpu-idle,data.average.firstView.lighthouse.Performance.first-meaningful-paint,data.average.firstView.lighthouse.Performance.interactive,data.average.firstView.lighthouse.Performance.speed-index,data.average.firstView.lighthouse.ProgressiveWebApp,data.average.firstView.lighthouse.SEO,data.average.firstView.loadEventEnd,data.average.firstView.loadEventStart,data.average.firstView.loadTime,data.average.firstView.maybeCaptcha,data.average.firstView.minify_savings,data.average.firstView.minify_total,data.average.firstView.optimization_checked,data.average.firstView.render,data.average.firstView.requests,data.average.firstView.requestsDoc,data.average.firstView.requestsFull,data.average.firstView.responses_200,data.average.firstView.responses_404,data.average.firstView.responses_other,data.average.firstView.result,data.average.firstView.run,data.average.firstView.score_cache,data.average.firstView.score_cdn,data.average.firstView.score_combine,data.average.firstView.score_compress,data.average.firstView.score_cookies,data.average.firstView.score_etags,data.average.firstView.score_gzip,data.average.firstView.score_keep-alive,data.average.firstView.score_minify,data.average.firstView.score_progressive_jpeg,data.average.firstView.server_rtt,data.average.firstView.smallImageCount,data.average.firstView.start_epoch,data.average.firstView.step,data.average.firstView.testStartOffset,data.average.firstView.test_run_time_ms,data.average.firstView.titleTime,data.average.firstView.userTime,data.average.firstView.userTime.snaptr,data.average.firstView.visualComplete,data.average.firstView.visualComplete85,data.average.firstView.visualComplete90,data.average.firstView.visualComplete95,data.average.firstView.visualComplete99,data.bwDown,data.bwUp,data.completed,data.connectivity,data.from,data.fvonly,data.id,data.latency,data.location,data.mobile,data.plr,data.successfulFVRuns,data.summary,data.testUrl,data.tester,data.url,speedtracker.day,speedtracker.month,speedtracker.slug,speedtracker.week,speedtracker.year,statusCode,statusText,webPagetestVersion
24,,,4074.9999999971,4074.9999999971,4375,2300,,,0,1,699,2,3280237,3250278,37295,32279,0,14479.0,14409,4152,4133,4132,2313,20,4075,4781,3999,4075,4075,4075,4075,14475,14409,2711,2312,2312,24,,,1540685704.1789901,14410,14409,4152,4133,1021,4133,0,0,178876,268396,1,4075,4781,4000,4075,4074.9999999971,4075,20638,17670,43.436578171099995,44878,2042150,135928,1129355,8800,0.74,0.87,0.27,1674.441,4436.7429999999995,8206.653,4436.752,31881.77,6158,0.31,0.9,14476,14409,14410,0,-1,-1,1,4100,202,146,202,149,1,52,99999,1,33,93,-1,88,-1,-1,98,100,-1,0,0,3,0,1,0,28932,0,10049.0,10049.0,8600,4900,5200,5200,8600,9000,9000,1540685794,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_RH_05aff154e76bb37d329913e72130682d,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_RH_05aff154e76bb37d329913e72130682d,https://jet.com/search?term=socks,VM4-08-192.168.11.126,https://jet.com/search?term=socks,27,10,search,43,2018,200,Test Complete,18.1
24,,,3780.3999999959997,3780.3999999959997,4058,2099,,,0,1,698,2,3351846,3227957,39858,32467,0,,13156,3847,3827,3827,2109,15,3780,4502,3745,3780,3780,3780,3780,13221,13157,2512,2108,2108,25,,,1540685838.389901,13157,13157,3847,3827,1088,3827,0,0,192303,291911,1,3780,4503,3746,3780,3780.3999999959997,3780,19529,15030,37.7164366374,15453,2023065,135928,1131412,8100,0.74,0.87,0.3,1656.99,4428.948,5323.9180000000015,4428.955,30400.553,6588,0.31,0.9,13222,13157,13157,0,-1,-1,1,3800,208,146,208,153,1,54,99999,1,38,92,-1,88,-1,-1,100,100,-1,0,0,4,0,1,0,27535,0,9349.0,9349.0,8100,4600,4600,4800,8000,9000,9000,1540685926,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_6R_05afdcdbf5b29df9ce0f9064967c7aa5,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_6R_05afdcdbf5b29df9ce0f9064967c7aa5,https://jet.com/search?term=socks,VM3-01-192.168.11.137,https://jet.com/search?term=socks,27,10,search,43,2018,200,Test Complete,18.1
24,,,4201.9,4201.9,4440,2196,,,0,1,708,1,3049234,2925015,39156,32308,0,,13681,4301,4265,4264,2209,11,4201,4858,4135,4201,4201,4201,4201,13778,13681,2615,2209,2209,25,,,1540685917.942188,13681,13681,4301,4265,1084,4264,0,0,172712,254681,1,4202,4859,4135,4202,4201.9,4202,19851,18869,46.951978104,15449,2028503,123611,822960,8600,0.74,0.87,0.28,1447.835,4350.337,7236.397,4350.348,29954.127999999997,6365,0.31,0.9,13778,13681,13681,0,-1,-1,1,4200,209,146,209,152,1,56,99999,1,39,93,-1,85,-1,-1,100,100,-1,0,0,4,0,1,0,30118,0,9689.0,9689.0,8400,4900,4900,5200,6100,9000,9000,1540686007,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_XA_7553c780c2de325d4fd16d5529ac90a1,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_XA_7553c780c2de325d4fd16d5529ac90a1,https://jet.com/search?term=socks,VM4-08-192.168.11.126,https://jet.com/search?term=socks,27,10,search,43,2018,200,Test Complete,18.1
24,,,3903.099999995901,3902.9999999984,4216,2066,,,0,1,701,1,2970540,2934727,37960,32150,0,,12834,3909,3891,3891,2079,16,3903,4638,3808,3903,3903,3903,3903,12884,12834,2515,2078,2078,25,,,1540709719.862669,12834,12834,3910,3892,1109,3892,0,0,200468,272541,1,3903,4639,3808,3903,3902.9999999984,3903,16884,14540,43.415945058199995,15453,2021787,123710,841633,8000,0.74,0.87,0.29,1684.97,4325.652,6988.144,4325.66,30707.558999999997,6141,0.31,0.9,12885,12835,12834,0,-1,-1,1,4000,166,143,166,132,1,33,99999,1,38,93,-1,86,-1,-1,100,100,-1,0,0,2,0,1,0,23886,0,9202.0,9202.0,8000,4800,4800,4800,5600,9000,9000,1540709804,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_V3_9c895e10e5e811da3ff6b39e234058dc,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_V3_9c895e10e5e811da3ff6b39e234058dc,https://jet.com/search?term=socks,VM3-04-192.168.11.111,https://jet.com/search?term=socks,28,10,search,43,2018,200,Test Complete,18.1
24,,,3819.8000000010998,3819.8000000010998,4161,2114,,,0,1,702,1,3067528,2942324,38820,32467,0,,14685,3887,3868,3867,2128,26,3819,4563,3759,3819,3819,3819,3819,14726,14685,2534,2127,2127,25,,,1540711342.866532,14686,14686,3887,3868,1072,3868,0,0,164082,234037,1,3820,4563,3759,3820,3819.8000000010998,3820,20809,18009,42.8299643282,44878,2051331,115036,815912,9000,0.74,0.87,0.28,1315.023,4473.813,7228.590999999998,4473.821,30510.4849999981,6195,0.31,0.9,14727,14686,14686,0,-1,-1,1,3900,210,148,210,156,1,53,99999,1,39,93,-1,86,-1,-1,98,100,-1,0,0,4,0,1,0,29081,0,9920.0,9920.0,9000,4700,4700,4700,5000,9000,9000,1540711431,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_3H_6d707e22e454e9264faa3a9f78141be4,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_3H_6d707e22e454e9264faa3a9f78141be4,https://jet.com/search?term=socks,VM2-01-192.168.11.98,https://jet.com/search?term=socks,28,10,search,43,2018,200,Test Complete,18.1
24,,,3760.6999999989002,3760.6999999989002,4041,2033,,,0,1,709,1,3036874,2912587,39686,32793,0,,13509,3818,3798,3797,2043,20,3760,4478,3704,3760,3760,3760,3760,13583,13509,2472,2042,2042,26,,,1540713896.826802,13509,13509,3818,3798,1073,3797,0,0,168425,253798,1,3761,4478,3704,3761,3760.6999999989002,3761,20064,16889,41.1951219512,15449,2022832,115036,815912,8300,0.74,0.87,0.26,1508.3310000000001,4539.738,7602.170999999998,4539.754,30617.65600000001,6296,0.31,0.9,13583,13509,13509,0,-1,-1,1,3800,212,150,212,155,1,56,99999,1,39,93,-1,86,-1,-1,100,100,-1,0,0,4,0,1,0,28695,0,9370.0,9370.0,8300,4600,4600,4600,5000,9000,9000,1540713985,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_N1_98657022f9c787a0961deae439d3dbca,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_N1_98657022f9c787a0961deae439d3dbca,https://jet.com/search?term=socks,VM2-02-192.168.11.99,https://jet.com/search?term=socks,28,10,search,43,2018,200,Test Complete,18.1
24,,,4176.2000000017,4176.2000000017,4635,2142,,,0,1,703,1,3012041,2982697,38084,33067,0,,13944,4283,4259,4258,2158,15,4176,4967,4088,4176,4176,4176,4176,13994,13944,2554,2153,2153,25,,,1540817890.162185,13945,13944,4283,4259,1090,4259,0,0,191107,252706,1,4176,4967,4088,4176,4176.2000000017,4176,17903,16710,47.6204046737,44878,2048510,131033,855309,8900,0.74,0.87,0.27,1715.9579999999999,4426.839,7454.611,4426.851,30207.651,6259,0.31,0.9,13994,13944,13945,0,-1,-1,1,4200,185,147,185,136,1,48,99999,1,38,93,-1,85,-1,-1,98,100,-1,0,0,1,0,1,0,25331,0,9738.0,9738.0,8900,5000,5000,8600,8600,9000,9000,1540817975,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_3Y_c550b2f9e85d8d34975eed8331fce60d,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_3Y_c550b2f9e85d8d34975eed8331fce60d,https://jet.com/search?term=socks,VM3-05-192.168.11.112,https://jet.com/search?term=socks,29,10,search,44,2018,200,Test Complete,18.1
24,,,4246.5000000011,4246.5000000011,4529,2352,,,0,1,712,1,3123226,2999413,37925,32346,0,,16740,4304,4284,4284,2362,7,4246,4929,4186,4247,4247,4246,4246,16782,16740,2821,2361,2361,24,,,1540826294.171409,16741,16741,4304,4284,1097,4284,0,0,167366,208451,1,4246,4930,4186,4247,4246.5000000011,4246,21013,17740,43.310546875,15451,2027124,136736,898000,9000,0.74,0.87,0.26,1844.463,4656.2,7884.509,4656.21,31199.303,6144,0.31,0.9,16782,16741,16741,0,-1,-1,1,4300,205,149,205,151,1,53,99999,1,37,90,-1,85,-1,-1,100,100,-1,0,0,3,0,1,0,28865,0,9983.0,9983.0,8900,5000,5000,5100,8900,9000,9000,1540826382,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_WS_7c6253121240680305f51a206698df68,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_WS_7c6253121240680305f51a206698df68,https://jet.com/search?term=socks,VM3-08-192.168.11.116,https://jet.com/search?term=socks,29,10,search,44,2018,200,Test Complete,18.1
24,,,4424.9999999956,4424.9999999956,4685,2508,,,0,1,708,1,3117189,3101391,39196,33643,0,,22502,4467,4454,4453,2523,8,4425,5104,4341,4425,4425,4425,4425,22602,22502,2921,2522,2522,25,,,1540833367.513393,22503,22503,4467,4455,1086,4454,0,0,136383,155108,1,4425,5105,4341,4425,4424.9999999956,4425,25364,21869,42.3508907823,15450,2007696,139013,911179,10300,0.74,0.87,0.24,2006.055,4911.061,8554.645,4911.074000000001,31607.174,6120,0.31,0.9,22602,22503,22503,0,-1,-1,1,4500,208,195,208,153,1,54,99999,1,38,94,-1,85,-1,-1,100,100,-1,0,0,3,0,1,0,36484,0,11163.0,11163.0,10300,4500,5300,5400,5700,9000,9000,1540833468,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_HF_c9a47484539e1e3904e1880cdc2bbaa1,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_HF_c9a47484539e1e3904e1880cdc2bbaa1,https://jet.com/search?term=socks,VM2-06-192.168.11.104,https://jet.com/search?term=socks,29,10,search,44,2018,200,Test Complete,18.1
24,,,4267.7000000003,4267.7000000003,4556,2597,,,0,1,705,1,3033542,2922112,38943,32073,0,,14655,4318,4308,4308,2607,13,4267,5066,4208,4267,4267,4267,4267,14704,14655,3009,2606,2606,25,,,1540838983.02665,14656,14656,4319,4309,1088,4308,0,0,168642,242317,1,4268,5067,4209,4268,4267.7000000003,4268,20585,15680,36.6526414212,15452,2002846,122444,833370,8700,0.74,0.87,0.22,1736.05,4946.861,7782.283,4946.8690000000015,31131.528000001006,6792,0.31,0.9,14704,14656,14656,0,-1,-1,1,4300,205,146,205,151,1,53,99999,1,39,94,-1,86,-1,-1,100,100,-1,0,0,3,0,1,0,28857,0,9697.0,9697.0,8700,5200,5300,5300,5500,9000,9000,1540839071,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_KT_e6ff0679dfd443dc8f40641a404d9763,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_KT_e6ff0679dfd443dc8f40641a404d9763,https://jet.com/search?term=socks,VM3-04-192.168.11.111,https://jet.com/search?term=socks,29,10,search,44,2018,200,Test Complete,18.1
